Frame Number, Queue Density, Dynamic Density
228, 0.236819, 0.000000
229, 0.236880, 0.000000
230, 0.237321, 0.000000
231, 0.237617, 0.000000
232, 0.238080, 0.000000
233, 0.238485, 0.000000
234, 0.238653, 0.000000
235, 0.238781, 0.000000
236, 0.239097, 0.000000
237, 0.239406, 0.000000
238, 0.239492, 0.000000
239, 0.239148, 0.000000
240, 0.239051, 0.000000
241, 0.238505, 0.000000
242, 0.237877, 0.000000
243, 0.237613, 0.000000
244, 0.237216, 0.000000
245, 0.235148, 0.000000
246, 0.233781, 0.000000
247, 0.232545, 0.000000
248, 0.231846, 0.000000
249, 0.231057, 0.000000
250, 0.230511, 0.000000
251, 0.229878, 0.000000
252, 0.229218, 0.000000
253, 0.228201, 0.000000
254, 0.228222, 0.000000
255, 0.228358, 0.000000
256, 0.228449, 0.000000
257, 0.228779, 0.000000
258, 0.228674, 0.000000
259, 0.228625, 0.000000
260, 0.228590, 0.000000
261, 0.228389, 0.000000
262, 0.228980, 0.000000
263, 0.229265, 0.000000
264, 0.229472, 0.000000
265, 0.229665, 0.000000
266, 0.229279, 0.000000
267, 0.229205, 0.000000
268, 0.229377, 0.000000
269, 0.229264, 0.000000
270, 0.229137, 0.000000
271, 0.228744, 0.000000
272, 0.228452, 0.000000
273, 0.228137, 0.000000
274, 0.228329, 0.000000
275, 0.228787, 0.000000
276, 0.229431, 0.000000
277, 0.230343, 0.000000
278, 0.231614, 0.000000
279, 0.232761, 0.000000
280, 0.234522, 0.000000
281, 0.236613, 0.000000
282, 0.238631, 0.000000
283, 0.240735, 0.000000
284, 0.243082, 0.000000
285, 0.245073, 0.000000
286, 0.246900, 0.000000
287, 0.248463, 0.000000
288, 0.250090, 0.000000
289, 0.251014, 0.000000
290, 0.251367, 0.000000
291, 0.251256, 0.000000
292, 0.251193, 0.000000
293, 0.250441, 0.000000
294, 0.249739, 0.000000
295, 0.247625, 0.000000
296, 0.245705, 0.000000
297, 0.243949, 0.000000
298, 0.242966, 0.000000
299, 0.241705, 0.000000
300, 0.240755, 0.000000
301, 0.239944, 0.000000
302, 0.239036, 0.000000
303, 0.238326, 0.000000
304, 0.238076, 0.000000
305, 0.237872, 0.000000
306, 0.237875, 0.000000
307, 0.237176, 0.000000
308, 0.236866, 0.000000
309, 0.236207, 0.000000
310, 0.235659, 0.000000
311, 0.235557, 0.000000
312, 0.235344, 0.000000
313, 0.235174, 0.000000
314, 0.235086, 0.000000
315, 0.234801, 0.000000
316, 0.234704, 0.000000
317, 0.234347, 0.000000
318, 0.234071, 0.000000
319, 0.233554, 0.000000
320, 0.235128, 0.000000
321, 0.235443, 0.000000
322, 0.235918, 0.000000
323, 0.236265, 0.000000
324, 0.236648, 0.000000
325, 0.237312, 0.000000
326, 0.237728, 0.000000
327, 0.238335, 0.000000
328, 0.239255, 0.000000
329, 0.239327, 0.000000
330, 0.239387, 0.000000
331, 0.239284, 0.000000
332, 0.239409, 0.000000
333, 0.239525, 0.000000
334, 0.239573, 0.000000
335, 0.239653, 0.000000
336, 0.239789, 0.000000
337, 0.240366, 0.000000
338, 0.240474, 0.000000
339, 0.240654, 0.000000
340, 0.241313, 0.000000
341, 0.241690, 0.000000
342, 0.242275, 0.000000
343, 0.242926, 0.000000
344, 0.243955, 0.000000
345, 0.243051, 0.000000
346, 0.242861, 0.000000
347, 0.243304, 0.000000
348, 0.243330, 0.000000
349, 0.243261, 0.000000
350, 0.242758, 0.000000
351, 0.242599, 0.000000
352, 0.241890, 0.000000
353, 0.241270, 0.000000
354, 0.241526, 0.000000
355, 0.241622, 0.000000
356, 0.241741, 0.000000
357, 0.241809, 0.000000
358, 0.241895, 0.000000
359, 0.241991, 0.000000
360, 0.242069, 0.000000
361, 0.242448, 0.000000
362, 0.243071, 0.000000
363, 0.243463, 0.000000
364, 0.243946, 0.000000
365, 0.244349, 0.000000
366, 0.244182, 0.000000
367, 0.244289, 0.000000
368, 0.244395, 0.000000
369, 0.244464, 0.000000
370, 0.243261, 0.000000
371, 0.242486, 0.000000
372, 0.241839, 0.000000
373, 0.241227, 0.000000
374, 0.240594, 0.000000
375, 0.240218, 0.000000
376, 0.239637, 0.000000
377, 0.238964, 0.000000
378, 0.238628, 0.000000
379, 0.238602, 0.000000
380, 0.238741, 0.000000
381, 0.238597, 0.000000
382, 0.238920, 0.000000
383, 0.239210, 0.000000
384, 0.239773, 0.000000
385, 0.240639, 0.000000
386, 0.241651, 0.000000
387, 0.242698, 0.000000
388, 0.244455, 0.000000
389, 0.246015, 0.000000
390, 0.247773, 0.000000
391, 0.248998, 0.000000
392, 0.250182, 0.000000
393, 0.251014, 0.000000
394, 0.252454, 0.000000
395, 0.253231, 0.000000
396, 0.253838, 0.000000
397, 0.254426, 0.000000
398, 0.254978, 0.000000
399, 0.255318, 0.000000
400, 0.255414, 0.000000
401, 0.255705, 0.000000
402, 0.256606, 0.000000
403, 0.257559, 0.000000
404, 0.259238, 0.000000
405, 0.261094, 0.000000
406, 0.263432, 0.000000
407, 0.266105, 0.000000
408, 0.268997, 0.000000
409, 0.272958, 0.000000
410, 0.277860, 0.000000
411, 0.282770, 0.000000
412, 0.288080, 0.000000
413, 0.293239, 0.000000
414, 0.298690, 0.000000
415, 0.303610, 0.000000
416, 0.308906, 0.000000
417, 0.314012, 0.000000
418, 0.318698, 0.000000
419, 0.323037, 0.000000
420, 0.328039, 0.000000
421, 0.333028, 0.000000
422, 0.337573, 0.000000
423, 0.341650, 0.000000
424, 0.346761, 0.000000
425, 0.352188, 0.000000
426, 0.356883, 0.000000
427, 0.362452, 0.000000
428, 0.367917, 0.000000
429, 0.372869, 0.000000
430, 0.377951, 0.000000
431, 0.382989, 0.000000
432, 0.387813, 0.000000
433, 0.392671, 0.000000
434, 0.397319, 0.000000
435, 0.401259, 0.000000
436, 0.404687, 0.000000
437, 0.408750, 0.000000
438, 0.412194, 0.000000
439, 0.415566, 0.000000
440, 0.417952, 0.000000
441, 0.419781, 0.000000
442, 0.421968, 0.000000
443, 0.423684, 0.000000
444, 0.424846, 0.000000
445, 0.424363, 0.000000
446, 0.424625, 0.000000
447, 0.425690, 0.000000
448, 0.425748, 0.000000
449, 0.426454, 0.000000
450, 0.427398, 0.000000
451, 0.427728, 0.000000
452, 0.428375, 0.000000
453, 0.429485, 0.000000
454, 0.432110, 0.000000
