Frame Number, Queue Density, Dynamic Density
228,   0.232105,   0.000000
229,   0.232009,   0.000000
230,   0.232464,   0.000000
231,   0.232530,   0.000000
232,   0.232873,   0.000000
233,   0.233287,   0.000000
234,   0.233884,   0.000000
235,   0.233741,   0.000000
236,   0.233912,   0.000000
237,   0.234056,   0.000000
238,   0.234560,   0.000000
239,   0.234168,   0.000000
240,   0.234371,   0.000000
241,   0.233932,   0.000000
242,   0.233605,   0.000000
243,   0.233241,   0.000000
244,   0.233298,   0.000000
245,   0.233039,   0.000000
246,   0.232843,   0.000000
247,   0.232605,   0.000000
248,   0.232458,   0.000000
249,   0.232602,   0.000000
250,   0.232750,   0.000000
251,   0.233231,   0.000000
252,   0.233662,   0.000000
253,   0.233623,   0.000000
254,   0.233597,   0.000000
255,   0.233481,   0.000000
256,   0.233352,   0.000000
257,   0.233847,   0.000000
258,   0.233541,   0.000000
259,   0.233322,   0.000000
260,   0.233260,   0.000000
261,   0.233069,   0.000000
262,   0.232870,   0.000000
263,   0.232814,   0.000000
264,   0.232330,   0.000000
265,   0.232642,   0.000000
266,   0.232331,   0.000000
267,   0.231966,   0.000000
268,   0.232238,   0.000000
269,   0.232066,   0.000000
270,   0.231178,   0.000000
271,   0.230584,   0.000000
272,   0.230036,   0.000000
273,   0.229807,   0.000000
274,   0.229562,   0.000000
275,   0.229699,   0.000000
276,   0.230441,   0.000000
277,   0.230850,   0.000000
278,   0.231878,   0.000000
279,   0.232958,   0.000000
280,   0.235159,   0.000000
281,   0.236986,   0.000000
282,   0.238941,   0.000000
283,   0.241500,   0.000000
284,   0.243401,   0.000000
285,   0.245128,   0.000000
286,   0.246935,   0.000000
287,   0.247819,   0.000000
288,   0.249065,   0.000000
289,   0.249248,   0.000000
290,   0.249302,   0.000000
291,   0.249154,   0.000000
292,   0.248764,   0.000000
293,   0.248009,   0.000000
294,   0.247719,   0.000000
295,   0.245389,   0.000000
296,   0.243881,   0.000000
297,   0.242281,   0.000000
298,   0.241654,   0.000000
299,   0.240807,   0.000000
300,   0.239656,   0.000000
301,   0.238906,   0.000000
302,   0.237576,   0.000000
303,   0.236948,   0.000000
304,   0.236012,   0.000000
305,   0.235355,   0.000000
306,   0.235120,   0.000000
307,   0.234415,   0.000000
308,   0.233773,   0.000000
309,   0.233188,   0.000000
310,   0.233117,   0.000000
311,   0.233056,   0.000000
312,   0.232489,   0.000000
313,   0.232285,   0.000000
314,   0.232481,   0.000000
315,   0.233062,   0.000000
316,   0.233230,   0.000000
317,   0.232762,   0.000000
318,   0.232852,   0.000000
319,   0.231897,   0.000000
320,   0.232894,   0.000000
321,   0.232562,   0.000000
322,   0.233074,   0.000000
323,   0.233114,   0.000000
324,   0.232801,   0.000000
325,   0.232750,   0.000000
326,   0.232752,   0.000000
327,   0.232946,   0.000000
328,   0.233863,   0.000000
329,   0.233485,   0.000000
330,   0.233983,   0.000000
331,   0.233843,   0.000000
332,   0.234037,   0.000000
333,   0.233861,   0.000000
334,   0.233909,   0.000000
335,   0.233991,   0.000000
336,   0.234029,   0.000000
337,   0.234299,   0.000000
338,   0.234106,   0.000000
339,   0.233946,   0.000000
340,   0.234208,   0.000000
341,   0.234606,   0.000000
342,   0.235157,   0.000000
343,   0.235912,   0.000000
344,   0.237272,   0.000000
345,   0.236716,   0.000000
346,   0.236767,   0.000000
347,   0.237901,   0.000000
348,   0.238489,   0.000000
349,   0.238920,   0.000000
350,   0.238927,   0.000000
351,   0.239128,   0.000000
352,   0.238907,   0.000000
353,   0.238412,   0.000000
354,   0.238765,   0.000000
355,   0.238895,   0.000000
356,   0.239500,   0.000000
357,   0.239802,   0.000000
358,   0.239627,   0.000000
359,   0.239799,   0.000000
360,   0.239966,   0.000000
361,   0.240685,   0.000000
362,   0.240733,   0.000000
363,   0.241190,   0.000000
364,   0.241517,   0.000000
365,   0.241625,   0.000000
366,   0.241813,   0.000000
367,   0.241790,   0.000000
368,   0.241796,   0.000000
369,   0.241895,   0.000000
370,   0.241915,   0.000000
371,   0.241562,   0.000000
372,   0.241677,   0.000000
373,   0.241743,   0.000000
374,   0.241765,   0.000000
375,   0.242027,   0.000000
376,   0.241747,   0.000000
377,   0.241990,   0.000000
378,   0.242000,   0.000000
379,   0.241909,   0.000000
380,   0.242236,   0.000000
381,   0.242580,   0.000000
382,   0.243060,   0.000000
383,   0.243407,   0.000000
384,   0.243816,   0.000000
385,   0.245127,   0.000000
386,   0.245972,   0.000000
387,   0.247526,   0.000000
388,   0.249134,   0.000000
389,   0.250810,   0.000000
390,   0.252128,   0.000000
391,   0.253267,   0.000000
392,   0.254069,   0.000000
393,   0.255093,   0.000000
394,   0.256023,   0.000000
395,   0.255752,   0.000000
396,   0.255517,   0.000000
397,   0.255790,   0.000000
398,   0.256062,   0.000000
399,   0.255659,   0.000000
400,   0.256011,   0.000000
401,   0.255687,   0.000000
402,   0.256009,   0.000000
403,   0.256537,   0.000000
404,   0.258171,   0.000000
405,   0.260344,   0.000000
406,   0.262827,   0.000000
407,   0.265083,   0.000000
408,   0.268295,   0.000000
409,   0.271779,   0.000000
410,   0.276863,   0.000000
411,   0.281347,   0.000000
412,   0.286523,   0.000000
413,   0.291623,   0.000000
414,   0.297168,   0.000000
415,   0.302137,   0.000000
416,   0.307682,   0.000000
417,   0.312665,   0.000000
418,   0.318018,   0.000000
419,   0.322153,   0.000000
420,   0.326221,   0.000000
421,   0.331019,   0.000000
422,   0.335356,   0.000000
423,   0.339383,   0.000000
424,   0.343943,   0.000000
425,   0.348677,   0.000000
426,   0.353051,   0.000000
427,   0.357284,   0.000000
428,   0.361890,   0.000000
429,   0.366721,   0.000000
430,   0.371248,   0.000000
431,   0.376296,   0.000000
432,   0.380539,   0.000000
433,   0.385525,   0.000000
434,   0.389677,   0.000000
435,   0.393397,   0.000000
436,   0.397177,   0.000000
437,   0.401205,   0.000000
438,   0.404267,   0.000000
439,   0.407802,   0.000000
440,   0.410486,   0.000000
441,   0.412362,   0.000000
442,   0.414456,   0.000000
443,   0.416447,   0.000000
444,   0.418492,   0.000000
445,   0.418268,   0.000000
446,   0.418569,   0.000000
447,   0.420274,   0.000000
448,   0.420485,   0.000000
449,   0.421750,   0.000000
450,   0.422619,   0.000000
451,   0.423432,   0.000000
452,   0.424765,   0.000000
453,   0.425546,   0.000000
454,   0.427795,   0.000000
455,   0.429994,   0.000000
456,   0.431491,   0.000000
457,   0.433497,   0.000000
458,   0.435421,   0.000000
459,   0.437525,   0.000000
460,   0.439117,   0.000000
461,   0.440643,   0.000000
462,   0.441972,   0.000000
463,   0.443492,   0.000000
464,   0.444797,   0.000000
465,   0.445772,   0.000000
466,   0.446058,   0.000000
467,   0.446833,   0.000000
468,   0.446793,   0.000000
469,   0.447461,   0.000000
470,   0.449653,   0.000000
471,   0.450772,   0.000000
472,   0.452175,   0.000000
473,   0.453133,   0.000000
474,   0.453953,   0.000000
475,   0.456140,   0.000000
476,   0.457630,   0.000000
477,   0.458878,   0.000000
478,   0.460304,   0.000000
479,   0.460642,   0.000000
480,   0.460782,   0.000000
481,   0.461611,   0.000000
482,   0.462235,   0.000000
483,   0.462833,   0.000000
484,   0.463248,   0.000000
485,   0.463480,   0.000000
486,   0.463815,   0.000000
487,   0.463904,   0.000000
488,   0.464085,   0.000000
489,   0.464495,   0.000000
490,   0.464549,   0.000000
491,   0.464390,   0.000000
492,   0.464336,   0.000000
493,   0.464225,   0.000000
494,   0.464468,   0.000000
495,   0.464571,   0.000000
496,   0.464833,   0.000000
497,   0.465733,   0.000000
498,   0.465803,   0.000000
499,   0.467002,   0.000000
500,   0.468993,   0.000000
501,   0.470236,   0.000000
502,   0.472121,   0.000000
503,   0.474999,   0.000000
504,   0.477079,   0.000000
505,   0.480509,   0.000000
506,   0.484151,   0.000000
507,   0.488037,   0.000000
508,   0.492049,   0.000000
509,   0.495986,   0.000000
510,   0.499725,   0.000000
511,   0.503701,   0.000000
512,   0.507476,   0.000000
513,   0.511022,   0.000000
514,   0.513871,   0.000000
515,   0.516454,   0.000000
516,   0.518203,   0.000000
517,   0.520006,   0.000000
518,   0.521929,   0.000000
519,   0.523488,   0.000000
520,   0.525656,   0.000000
521,   0.527389,   0.000000
522,   0.529716,   0.000000
523,   0.531113,   0.000000
524,   0.532951,   0.000000
525,   0.535091,   0.000000
526,   0.536764,   0.000000
527,   0.538535,   0.000000
528,   0.540086,   0.000000
529,   0.541662,   0.000000
530,   0.542648,   0.000000
