The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0766667, 0
0.133218, 0.0808951, 0
0.199828, 0.0833989, 0
0.266437, 0.0897107, 0
0.333046, 0.0930324, 0
0.399655, 0.0926929, 0
0.466264, 0.098885, 0
0.532873, 0.102022, 0
0.599483, 0.102693, 0
0.666092, 0.101451, 0
0.732701, 0.101775, 0
0.79931, 0.104167, 0
0.865919, 0.105671, 0
0.932529, 0.107338, 0
0.999138, 0.108214, 0
1.06575, 0.109826, 0
1.13236, 0.11093, 0
1.19897, 0.111142, 0
1.26557, 0.113642, 0
1.33218, 0.115162, 0
1.39879, 0.115143, 0
1.4654, 0.117836, 0
1.53201, 0.120328, 0
1.59862, 0.122739, 0
1.66523, 0.12539, 0
1.73184, 0.128318, 0
1.79845, 0.130552, 0
1.86506, 0.129579, 0
1.93167, 0.132473, 0
1.99828, 0.133742, 0
2.06488, 0.132677, 0
2.13149, 0.135366, 0
2.1981, 0.136605, 0
2.26471, 0.136968, 0
2.33132, 0.137423, 0
2.39793, 0.137654, 0
2.46454, 0.138013, 0
2.53115, 0.140818, 0
2.59776, 0.139888, 0
2.66437, 0.139626, 0
2.73098, 0.139807, 0
2.79759, 0.139248, 0
2.86419, 0.140031, 0
2.9308, 0.140849, 0
2.99741, 0.140544, 0
3.06402, 0.143318, 0
3.13063, 0.141007, 0
3.19724, 0.139348, 0
3.26385, 0.145378, 0
3.33046, 0.145694, 0
3.39707, 0.146462, 0
3.46368, 0.149317, 0
3.53029, 0.152693, 0
3.5969, 0.153839, 0
3.6635, 0.156343, 0
3.73011, 0.159522, 0
3.79672, 0.160127, 0
3.86333, 0.164252, 0
3.92994, 0.164807, 0
3.99655, 0.165583, 0
4.06316, 0.167971, 0
4.12977, 0.164765, 0
4.19638, 0.164757, 0
4.26299, 0.164008, 0
4.3296, 0.164491, 0
4.39621, 0.162323, 0
4.46282, 0.161929, 0
4.52942, 0.161979, 0
4.59603, 0.161173, 0
4.66264, 0.162473, 0
4.72925, 0.165204, 0
4.79586, 0.166289, 0
4.86247, 0.165131, 0
4.92908, 0.169051, 0
4.99569, 0.170837, 0
5.0623, 0.169479, 0
5.12891, 0.169846, 0
5.19552, 0.171863, 0
5.26213, 0.173735, 0
5.32873, 0.176373, 0
5.39534, 0.17733, 0
5.46195, 0.179792, 0
5.52856, 0.184799, 0
5.59517, 0.187288, 0
5.66178, 0.191948, 0
5.72839, 0.195968, 0
5.795, 0.198765, 0
5.86161, 0.203194, 0
5.92822, 0.211671, 0
5.99483, 0.211667, 0
6.06144, 0.218083, 0
6.12804, 0.218036, 0
6.19465, 0.220077, 0
6.26126, 0.219294, 0
6.32787, 0.215262, 0
6.39448, 0.216508, 0
6.46109, 0.220729, 0
6.5277, 0.221219, 0
6.59431, 0.219576, 0
6.66092, 0.218738, 0
6.72753, 0.215316, 0
6.79414, 0.215266, 0
6.86075, 0.212612, 0
6.92735, 0.213009, 0
6.99396, 0.211925, 0
7.06057, 0.210814, 0
7.12718, 0.211366, 0
7.19379, 0.213669, 0
7.2604, 0.214992, 0
7.32701, 0.221948, 0
7.39362, 0.222639, 0
7.46023, 0.225714, 0
7.52684, 0.228083, 0
7.59345, 0.229599, 0
7.66006, 0.233329, 0
7.72666, 0.239259, 0
7.79327, 0.240563, 0
7.85988, 0.242076, 0
7.92649, 0.243094, 0
7.9931, 0.242801, 0
8.05971, 0.246983, 0
8.12632, 0.242326, 0
8.19293, 0.244583, 0
8.25954, 0.246493, 0
8.32615, 0.246809, 0
8.39276, 0.249738, 0
8.45937, 0.246929, 0
8.52598, 0.250698, 0
8.59258, 0.25157, 0
8.65919, 0.254618, 0
8.7258, 0.25419, 0
8.79241, 0.256269, 0
8.85902, 0.255583, 0
8.92563, 0.256632, 0
8.99224, 0.259109, 0
9.05885, 0.259205, 0
9.12546, 0.2624, 0
9.19207, 0.262477, 0
9.25868, 0.261103, 0
9.32529, 0.264282, 0
9.39189, 0.264981, 0
9.4585, 0.260938, 0
9.52511, 0.260972, 0
9.59172, 0.264734, 0
9.65833, 0.25512, 0
9.72494, 0.255309, 0
9.79155, 0.258812, 0
9.85816, 0.256408, 0
9.92477, 0.255984, 0
9.99138, 0.258079, 0
10.058, 0.256809, 0
10.1246, 0.257041, 0
10.1912, 0.258584, 0
10.2578, 0.257635, 0
10.3244, 0.257867, 0
10.391, 0.256046, 0
10.4576, 0.252396, 0
10.5243, 0.251169, 0
10.5909, 0.251447, 0
10.6575, 0.250532, 0
10.7241, 0.248214, 0
10.7907, 0.247319, 0
10.8573, 0.248488, 0
10.9239, 0.247913, 0
10.9905, 0.246154, 0
11.0571, 0.245926, 0
11.1237, 0.245367, 0
11.1903, 0.24456, 0
11.257, 0.244491, 0
11.3236, 0.247508, 0
11.3902, 0.245212, 0
11.4568, 0.242141, 0
11.5234, 0.24091, 0
11.59, 0.241532, 0
11.6566, 0.240922, 0
11.7232, 0.24108, 0
11.7898, 0.239394, 0
11.8564, 0.239938, 0
11.923, 0.239965, 0
11.9897, 0.239479, 0
12.0563, 0.240648, 0
12.1229, 0.239356, 0
12.1895, 0.241856, 0
12.2561, 0.239252, 0
12.3227, 0.23995, 0
12.3893, 0.239487, 0
