The video is over!
Time of video Queue Density, Dynamic Density
15.1869, 0.235756, 0
15.2535, 0.234846, 0
15.3201, 0.235266, 0
15.3867, 0.235189, 0
15.4533, 0.235752, 0
15.5199, 0.235486, 0
15.5865, 0.234877, 0
15.6532, 0.237191, 0
15.7198, 0.23689, 0
15.7864, 0.237014, 0
15.853, 0.235687, 0
15.9196, 0.234406, 0
15.9862, 0.235571, 0
16.0528, 0.230552, 0
16.1194, 0.232581, 0
16.186, 0.234699, 0
16.2526, 0.235139, 0
16.3192, 0.235907, 0
16.3859, 0.234213, 0
16.4525, 0.235185, 0
16.5191, 0.233908, 0
16.5857, 0.236462, 0
16.6523, 0.234965, 0
16.7189, 0.234865, 0
16.7855, 0.234626, 0
16.8521, 0.233781, 0
16.9187, 0.234483, 0
16.9853, 0.234591, 0
17.052, 0.23429, 0
17.1186, 0.23691, 0
17.1852, 0.234298, 0
17.2518, 0.23483, 0
17.3184, 0.232801, 0
17.385, 0.233175, 0
17.4516, 0.233673, 0
17.5182, 0.233735, 0
17.5848, 0.233272, 0
17.6514, 0.233067, 0
17.718, 0.234213, 0
17.7847, 0.233549, 0
17.8513, 0.233457, 0
17.9179, 0.233812, 0
17.9845, 0.230235, 0
18.0511, 0.229869, 0
18.1177, 0.230459, 0
18.1843, 0.230752, 0
18.2509, 0.230258, 0
18.3175, 0.233553, 0
18.3841, 0.234417, 0
18.4507, 0.238573, 0
18.5174, 0.24186, 0
18.584, 0.240818, 0
18.6506, 0.24397, 0
18.7172, 0.24684, 0
18.7838, 0.248993, 0
18.8504, 0.250143, 0
18.917, 0.253345, 0
18.9836, 0.254101, 0
19.0502, 0.255413, 0
19.1168, 0.253098, 0
19.1834, 0.252616, 0
19.2501, 0.250251, 0
19.3167, 0.248241, 0
19.3833, 0.247041, 0
19.4499, 0.247369, 0
19.5165, 0.24674, 0
19.5831, 0.246539, 0
19.6497, 0.239155, 0
19.7163, 0.236725, 0
19.7829, 0.237608, 0
19.8495, 0.238681, 0
19.9161, 0.23956, 0
19.9828, 0.23772, 0
20.0494, 0.236717, 0
20.116, 0.2361, 0
20.1826, 0.237407, 0
20.2492, 0.233083, 0
20.3158, 0.233511, 0
20.3824, 0.23235, 0
20.449, 0.234217, 0
20.5156, 0.232801, 0
20.5822, 0.23321, 0
20.6488, 0.234271, 0
20.7155, 0.233962, 0
20.7821, 0.234857, 0
20.8487, 0.23358, 0
20.9153, 0.235039, 0
20.9819, 0.235849, 0
21.0485, 0.235031, 0
21.1151, 0.233657, 0
21.1817, 0.232222, 0
21.2483, 0.230741, 0
