The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0745525, 0
0.133218, 0.0782407, 0
0.199828, 0.081713, 0
0.266437, 0.0875463, 0
0.333046, 0.0931096, 0
0.399655, 0.0939738, 0
0.466264, 0.0998534, 0
0.532873, 0.101204, 0
0.599483, 0.101204, 0
0.666092, 0.100671, 0
0.732701, 0.10135, 0
0.79931, 0.104738, 0
0.865919, 0.105448, 0
0.932529, 0.108102, 0
0.999138, 0.109444, 0
1.06575, 0.110139, 0
1.13236, 0.10909, 0
1.19897, 0.111744, 0
1.26557, 0.111389, 0
1.33218, 0.115586, 0
1.39879, 0.113549, 0
1.4654, 0.115926, 0
1.53201, 0.11784, 0
1.59862, 0.122886, 0
1.66523, 0.123846, 0
1.73184, 0.125617, 0
1.79845, 0.12912, 0
1.86506, 0.127855, 0
1.93167, 0.132315, 0
1.99828, 0.132731, 0
2.06488, 0.133796, 0
2.13149, 0.135386, 0
2.1981, 0.136373, 0
2.26471, 0.13696, 0
2.33132, 0.137377, 0
2.39793, 0.135432, 0
2.46454, 0.137068, 0
2.53115, 0.138349, 0
2.59776, 0.138596, 0
2.66437, 0.140679, 0
2.73098, 0.139456, 0
2.79759, 0.140941, 0
2.86419, 0.140818, 0
2.9308, 0.140015, 0
2.99741, 0.140247, 0
3.06402, 0.142037, 0
3.13063, 0.140309, 0
3.19724, 0.137793, 0
3.26385, 0.141219, 0
3.33046, 0.14162, 0
3.39707, 0.142824, 0
3.46368, 0.146844, 0
3.53029, 0.148827, 0
3.5969, 0.152191, 0
3.6635, 0.153804, 0
3.73011, 0.156566, 0
3.79672, 0.159414, 0
3.86333, 0.161065, 0
3.92994, 0.164691, 0
3.99655, 0.165077, 0
4.06316, 0.16716, 0
4.12977, 0.164907, 0
4.19638, 0.163341, 0
4.26299, 0.16321, 0
4.3296, 0.163673, 0
4.39621, 0.161875, 0
4.46282, 0.162469, 0
4.52942, 0.162515, 0
4.59603, 0.16169, 0
4.66264, 0.161983, 0
4.72925, 0.163094, 0
4.79586, 0.165895, 0
4.86247, 0.165741, 0
4.92908, 0.169429, 0
4.99569, 0.169846, 0
5.0623, 0.167608, 0
5.12891, 0.16892, 0
5.19552, 0.171651, 0
5.26213, 0.173488, 0
5.32873, 0.175941, 0
5.39534, 0.174645, 0
5.46195, 0.178688, 0
5.52856, 0.18517, 0
5.59517, 0.186914, 0
5.66178, 0.189475, 0
5.72839, 0.196265, 0
5.795, 0.198287, 0
5.86161, 0.203287, 0
5.92822, 0.210725, 0
5.99483, 0.211991, 0
6.06144, 0.217855, 0
6.12804, 0.216543, 0
6.19465, 0.220756, 0
6.26126, 0.219923, 0
6.32787, 0.213796, 0
6.39448, 0.216933, 0
6.46109, 0.222315, 0
6.5277, 0.219954, 0
6.59431, 0.218287, 0
6.66092, 0.220231, 0
6.72753, 0.216481, 0
6.79414, 0.216019, 0
6.86075, 0.214059, 0
6.92735, 0.212963, 0
6.99396, 0.210324, 0
7.06057, 0.210818, 0
7.12718, 0.211389, 0
7.19379, 0.213117, 0
7.2604, 0.214815, 0
7.32701, 0.221956, 0
7.39362, 0.224074, 0
7.46023, 0.224861, 0
7.52684, 0.227762, 0
7.59345, 0.228549, 0
7.66006, 0.233086, 0
7.72666, 0.237639, 0
7.79327, 0.238611, 0
7.85988, 0.240525, 0
7.92649, 0.241744, 0
7.9931, 0.24196, 0
8.05971, 0.245093, 0
8.12632, 0.243951, 0
8.19293, 0.242917, 0
8.25954, 0.24659, 0
8.32615, 0.248611, 0
8.39276, 0.247423, 0
8.45937, 0.245972, 0
8.52598, 0.248272, 0
8.59258, 0.249259, 0
8.65919, 0.253549, 0
8.7258, 0.25534, 0
8.79241, 0.25412, 0
8.85902, 0.254043, 0
8.92563, 0.254444, 0
8.99224, 0.25659, 0
9.05885, 0.25716, 0
9.12546, 0.259907, 0
9.19207, 0.260062, 0
9.25868, 0.259907, 0
9.32529, 0.263889, 0
9.39189, 0.262068, 0
9.4585, 0.259506, 0
9.52511, 0.262099, 0
9.59172, 0.264012, 0
9.65833, 0.254954, 0
9.72494, 0.256111, 0
9.79155, 0.257932, 0
9.85816, 0.257299, 0
9.92477, 0.254383, 0
9.99138, 0.255772, 0
10.058, 0.255478, 0
10.1246, 0.25466, 0
10.1912, 0.256806, 0
10.2578, 0.256389, 0
10.3244, 0.254522, 0
10.391, 0.253719, 0
10.4576, 0.250725, 0
10.5243, 0.24983, 0
10.5909, 0.246698, 0
10.6575, 0.245802, 0
10.7241, 0.244429, 0
10.7907, 0.247361, 0
10.8573, 0.248519, 0
10.9239, 0.24733, 0
10.9905, 0.246373, 0
11.0571, 0.243704, 0
11.1237, 0.245648, 0
11.1903, 0.242438, 0
11.257, 0.242932, 0
11.3236, 0.243302, 0
11.3902, 0.24429, 0
11.4568, 0.241497, 0
11.5234, 0.239996, 0
11.59, 0.239286, 0
11.6566, 0.238762, 0
11.7232, 0.239815, 0
11.7898, 0.23679, 0
11.8564, 0.237006, 0
11.923, 0.236019, 0
11.9897, 0.235648, 0
12.0563, 0.236559, 0
12.1229, 0.235262, 0
12.1895, 0.236528, 0
12.2561, 0.236543, 0
12.3227, 0.234383, 0
12.3893, 0.233796, 0
12.4559, 0.233488, 0
12.5225, 0.233503, 0
12.5891, 0.235756, 0
12.6557, 0.236327, 0
12.7224, 0.23625, 0
12.789, 0.234043, 0
12.8556, 0.235648, 0
12.9222, 0.236651, 0
12.9888, 0.243858, 0
13.0554, 0.244352, 0
13.122, 0.243858, 0
