The video is over!
Frame Number 	Queue Density
1		0.0778086
2		0.0826775
3		0.0873611
4		0.0921914
5		0.0966242
6		0.0979282
7		0.102265
8		0.109715
9		0.107145
10		0.105154
11		0.106138
12		0.110386
13		0.111011
14		0.107897
15		0.109927
16		0.111937
17		0.112658
18		0.113079
19		0.113233
20		0.115274
21		0.113546
22		0.116952
23		0.120258
24		0.121624
25		0.124209
26		0.128835
27		0.129032
28		0.12897
29		0.131875
30		0.134132
31		0.13564
32		0.135428
33		0.137272
34		0.138125
35		0.137542
36		0.137967
37		0.136717
38		0.136381
39		0.138657
40		0.14157
41		0.14034
42		0.143472
43		0.142654
44		0.144279
45		0.140305
46		0.142361
47		0.139406
48		0.136381
49		0.144039
50		0.145108
51		0.143391
52		0.150309
53		0.151273
54		0.153345
55		0.156088
56		0.158511
57		0.161111
58		0.166748
59		0.166404
60		0.165147
61		0.167099
62		0.166975
63		0.165382
64		0.165448
65		0.166493
66		0.165529
67		0.165262
68		0.164973
69		0.16466
70		0.166709
71		0.167828
72		0.168985
73		0.166647
74		0.170228
75		0.170833
76		0.17147
77		0.171736
78		0.173245
79		0.173584
80		0.172434
81		0.174163
82		0.179695
83		0.185394
84		0.190802
85		0.193762
86		0.198762
87		0.199116
88		0.20353
89		0.213565
90		0.215089
91		0.22
92		0.221447
93		0.221319
94		0.218816
95		0.21466
96		0.215613
97		0.222546
98		0.22304
99		0.220035
100		0.22113
101		0.217843
102		0.215872
103		0.214707
104		0.214375
105		0.216763
106		0.211416
107		0.21314
108		0.218858
109		0.217909
110		0.226821
111		0.2276
112		0.228576
113		0.231547
114		0.233488
115		0.237832
116		0.241836
117		0.241142
118		0.243607
119		0.243657
120		0.245123
121		0.24907
122		0.242488
123		0.246501
124		0.246863
125		0.248121
126		0.249197
127		0.243835
128		0.249344
129		0.250826
130		0.249537
131		0.250775
132		0.25137
133		0.251844
134		0.253144
135		0.254923
136		0.253966
137		0.255093
138		0.259302
139		0.257539
140		0.259622
141		0.25887
142		0.257288
143		0.257986
144		0.25843
145		0.247924
146		0.255864
147		0.254799
148		0.252882
149		0.249074
150		0.251458
151		0.251736
152		0.248819
153		0.25191
154		0.251146
155		0.251964
156		0.250984
157		0.252099
158		0.249483
159		0.249579
160		0.247404
161		0.24495
162		0.246273
163		0.24853
164		0.246427
165		0.245772
166		0.245617
167		0.241524
168		0.242751
169		0.241115
170		0.244549
171		0.242577
172		0.240089
173		0.237978
174		0.238769
175		0.237546
176		0.23586
177		0.236883
178		0.236813
179		0.234506
180		0.233823
181		0.23402
182		0.234078
183		0.234487
184		0.233584
185		0.23534
186		0.233935
187		0.235409
188		0.235332
189		0.237542
190		0.238175
191		0.23581
192		0.236154
193		0.234205
194		0.234946
195		0.240814
196		0.240451
197		0.240976
198		0.240691
199		0.24147
200		0.24108
201		0.241111
202		0.237724
203		0.241053
204		0.241836
205		0.240945
206		0.238796
207		0.240066
208		0.237153
209		0.237292
210		0.238013
211		0.239776
212		0.241574
213		0.240228
214		0.239637
215		0.238291
216		0.24103
217		0.239888
218		0.24032
219		0.238044
220		0.231605
221		0.23483
222		0.233588
223		0.233009
224		0.235833
225		0.236466
226		0.235147
227		0.236732
228		0.234051
229		0.23309
230		0.232623
231		0.233059
232		0.236848
233		0.237886
234		0.237265
235		0.238156
236		0.238137
237		0.237573
238		0.235737
239		0.23137
240		0.234672
241		0.231902
242		0.233306
243		0.232388
244		0.233885
245		0.231354
246		0.233206
247		0.233218
248		0.232373
249		0.232677
250		0.234244
251		0.232384
252		0.234005
253		0.230826
254		0.230023
255		0.228364
256		0.227677
257		0.23262
258		0.232488
259		0.229738
