The video is over!
Frame Number 	Queue Density
1		0.0752161
2		0.0798457
3		0.0828472
4		0.0881327
5		0.0925617
6		0.0938889
7		0.100239
8		0.103333
9		0.101782
10		0.102855
11		0.103495
12		0.105394
13		0.106458
14		0.109109
15		0.110023
16		0.110965
17		0.111782
18		0.1125
19		0.11419
20		0.116651
21		0.117199
22		0.118673
23		0.121678
24		0.123873
25		0.125185
26		0.127797
27		0.129942
28		0.131003
29		0.134043
30		0.135285
31		0.13544
32		0.136173
33		0.137924
34		0.138719
35		0.138735
36		0.138742
37		0.139985
38		0.14142
39		0.14125
40		0.141289
41		0.141057
42		0.140787
43		0.141281
44		0.142161
45		0.140278
46		0.14189
47		0.140617
48		0.138256
49		0.144514
50		0.145185
51		0.14608
52		0.149421
53		0.151991
54		0.154136
55		0.155386
56		0.158981
57		0.160278
58		0.164502
59		0.164691
60		0.165687
61		0.167539
62		0.166196
63		0.165413
64		0.163681
65		0.16385
66		0.162693
67		0.162747
68		0.16287
69		0.163611
70		0.163387
71		0.164298
72		0.165316
73		0.164946
74		0.168665
75		0.169606
76		0.169934
77		0.168858
78		0.171613
79		0.174282
80		0.176026
81		0.176721
82		0.178349
83		0.185235
84		0.186659
85		0.19186
86		0.197569
87		0.198673
88		0.204414
89		0.212176
90		0.212083
91		0.219159
92		0.220077
93		0.220247
94		0.220417
95		0.217932
96		0.219587
97		0.224394
98		0.223113
99		0.221092
100		0.221015
101		0.218121
102		0.21738
103		0.215181
104		0.214572
105		0.213654
106		0.212218
107		0.216235
108		0.217056
109		0.2188
110		0.225783
111		0.226501
112		0.230289
113		0.232029
114		0.234255
115		0.237758
116		0.242234
117		0.242056
118		0.243414
119		0.244927
120		0.246767
121		0.24929
122		0.24625
123		0.246482
124		0.250745
125		0.250872
126		0.251605
127		0.250505
128		0.251628
129		0.252623
130		0.25473
131		0.256497
132		0.257677
133		0.25625
134		0.258646
135		0.260864
136		0.261979
137		0.264379
138		0.264892
139		0.264568
140		0.26576
141		0.266073
142		0.263808
143		0.263754
144		0.264961
145		0.255841
146		0.256732
147		0.258225
148		0.257847
149		0.256466
150		0.256628
151		0.257785
152		0.25745
153		0.259255
154		0.257052
155		0.257353
156		0.257724
157		0.254043
158		0.25059
159		0.249599
160		0.248627
161		0.246937
162		0.2474
163		0.24912
164		0.248083
165		0.247369
166		0.246574
167		0.246474
168		0.245336
169		0.242978
170		0.247168
171		0.245015
172		0.242824
173		0.242662
174		0.241644
175		0.241343
176		0.241782
177		0.240818
178		0.240941
179		0.240031
180		0.239248
181		0.240262
182		0.239066
183		0.239568
184		0.237573
185		0.237458
186		0.237446
187		0.236759
188		0.236505
189		0.236481
190		0.236088
191		0.235741
192		0.235571
193		0.235239
194		0.236211
195		0.245166
196		0.243688
197		0.244298
198		0.244884
199		0.243179
200		0.243329
201		0.242886
202		0.242593
203		0.241798
204		0.242353
205		0.241798
206		0.241713
207		0.24152
208		0.241242
209		0.240679
210		0.241196
211		0.241173
212		0.24294
213		0.240432
214		0.241034
215		0.241929
216		0.242284
217		0.24086
218		0.24213
219		0.242326
220		0.232948
221		0.232191
222		0.233025
223		0.233657
224		0.235556
225		0.235772
226		0.236049
227		0.239363
