The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0751389, 0
0.133218, 0.0779823, 0
0.199828, 0.0814699, 0
0.266437, 0.0879205, 0
0.333046, 0.0911651, 0
0.399655, 0.0923418, 0
0.466264, 0.0976813, 0
0.532873, 0.101339, 0
0.599483, 0.0994329, 0
0.666092, 0.101377, 0
0.732701, 0.101867, 0
0.79931, 0.102454, 0
0.865919, 0.103071, 0
0.932529, 0.106022, 0
0.999138, 0.106748, 0
1.06575, 0.109352, 0
1.13236, 0.109417, 0
1.19897, 0.110324, 0
1.26557, 0.111609, 0
1.33218, 0.113059, 0
1.39879, 0.113846, 0
1.4654, 0.116454, 0
1.53201, 0.118816, 0
1.59862, 0.121794, 0
1.66523, 0.123337, 0
1.73184, 0.126744, 0
1.79845, 0.128565, 0
1.86506, 0.128769, 0
1.93167, 0.131208, 0
1.99828, 0.131528, 0
2.06488, 0.132639, 0
2.13149, 0.133661, 0
2.1981, 0.134618, 0
2.26471, 0.135174, 0
2.33132, 0.13559, 0
2.39793, 0.136296, 0
2.46454, 0.136887, 0
2.53115, 0.139105, 0
2.59776, 0.13966, 0
2.66437, 0.138738, 0
2.73098, 0.138754, 0
2.79759, 0.139201, 0
2.86419, 0.139456, 0
2.9308, 0.141019, 0
2.99741, 0.13897, 0
3.06402, 0.140806, 0
3.13063, 0.139063, 0
3.19724, 0.135945, 0
3.26385, 0.141254, 0
3.33046, 0.142315, 0
3.39707, 0.142998, 0
3.46368, 0.146713, 0
3.53029, 0.149522, 0
3.5969, 0.150818, 0
3.6635, 0.15392, 0
3.73011, 0.157407, 0
3.79672, 0.15821, 0
3.86333, 0.161944, 0
3.92994, 0.163179, 0
3.99655, 0.164244, 0
4.06316, 0.16662, 0
4.12977, 0.164352, 0
4.19638, 0.163819, 0
4.26299, 0.161312, 0
4.3296, 0.162407, 0
4.39621, 0.160895, 0
4.46282, 0.160556, 0
4.52942, 0.161188, 0
4.59603, 0.161512, 0
4.66264, 0.16213, 0
4.72925, 0.162407, 0
4.79586, 0.16463, 0
4.86247, 0.164352, 0
4.92908, 0.168164, 0
4.99569, 0.168943, 0
5.0623, 0.168742, 0
5.12891, 0.167971, 0
5.19552, 0.171034, 0
5.26213, 0.17216, 0
5.32873, 0.175262, 0
5.39534, 0.175386, 0
5.46195, 0.17733, 0
5.52856, 0.184344, 0
5.59517, 0.186235, 0
