The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.074429, 0
0.133218, 0.0781019, 0
0.199828, 0.0825849, 0
0.266437, 0.0885571, 0
0.333046, 0.0909954, 0
0.399655, 0.0918596, 0
0.466264, 0.0976929, 0
0.532873, 0.101019, 0
0.599483, 0.0991937, 0
0.666092, 0.102253, 0
0.732701, 0.101921, 0
0.79931, 0.10463, 0
0.865919, 0.10534, 0
0.932529, 0.10804, 0
0.999138, 0.109367, 0
1.06575, 0.110015, 0
1.13236, 0.110664, 0
1.19897, 0.110625, 0
1.26557, 0.11341, 0
1.33218, 0.114483, 0
1.39879, 0.113557, 0
1.4654, 0.115532, 0
1.53201, 0.118889, 0
1.59862, 0.121782, 0
1.66523, 0.124352, 0
1.73184, 0.12625, 0
1.79845, 0.128086, 0
1.86506, 0.127793, 0
1.93167, 0.132253, 0
1.99828, 0.130903, 0
2.06488, 0.13287, 0
2.13149, 0.13446, 0
2.1981, 0.136327, 0
2.26471, 0.135856, 0
2.33132, 0.136273, 0
2.39793, 0.136397, 0
2.46454, 0.137631, 0
2.53115, 0.14037, 0
2.59776, 0.139128, 0
2.66437, 0.139722, 0
2.73098, 0.139591, 0
2.79759, 0.140856, 0
2.86419, 0.140694, 0
2.9308, 0.141559, 0
2.99741, 0.140185, 0
3.06402, 0.141975, 0
3.13063, 0.139379, 0
3.19724, 0.137731, 0
3.26385, 0.142373, 0
3.33046, 0.143642, 0
3.39707, 0.143804, 0
3.46368, 0.147029, 0
3.53029, 0.150849, 0
3.5969, 0.15213, 0
3.6635, 0.155093, 0
3.73011, 0.15787, 0
3.79672, 0.159352, 0
3.86333, 0.163086, 0
3.92994, 0.163588, 0
3.99655, 0.165015, 0
4.06316, 0.167037, 0
4.12977, 0.164784, 0
4.19638, 0.163889, 0
4.26299, 0.162091, 0
4.3296, 0.163596, 0
4.39621, 0.162793, 0
4.46282, 0.16135, 0
4.52942, 0.161408, 0
4.59603, 0.162577, 0
4.66264, 0.162245, 0
4.72925, 0.163372, 0
4.79586, 0.164823, 0
4.86247, 0.16419, 0
4.92908, 0.16892, 0
4.99569, 0.169336, 0
5.0623, 0.169182, 0
5.12891, 0.16841, 0
5.19552, 0.17054, 0
5.26213, 0.172963, 0
5.32873, 0.175432, 0
5.39534, 0.175336, 0
5.46195, 0.178102, 0
5.52856, 0.183711, 0
5.59517, 0.185409, 0
5.66178, 0.189522, 0
5.72839, 0.194653, 0
5.795, 0.197716, 0
5.86161, 0.202716, 0
5.92822, 0.209113, 0
5.99483, 0.211404, 0
6.06144, 0.216879, 0
6.12804, 0.218056, 0
6.19465, 0.220185, 0
6.26126, 0.218889, 0
6.32787, 0.214799, 0
6.39448, 0.216319, 0
6.46109, 0.221532, 0
6.5277, 0.22142, 0
6.59431, 0.219753, 0
6.66092, 0.219568, 0
6.72753, 0.216281, 0
6.79414, 0.215401, 0
6.86075, 0.21338, 0
6.92735, 0.211705, 0
6.99396, 0.212284, 0
7.06057, 0.210694, 0
7.12718, 0.212886, 0
7.19379, 0.214035, 0
7.2604, 0.215706, 0
7.32701, 0.222049, 0
7.39362, 0.222878, 0
7.46023, 0.224722, 0
7.52684, 0.228588, 0
7.59345, 0.229375, 0
7.66006, 0.234545, 0
7.72666, 0.238056, 0
7.79327, 0.239113, 0
7.85988, 0.241026, 0
7.92649, 0.242319, 0
7.9931, 0.24265, 0
8.05971, 0.244992, 0
8.12632, 0.242288, 0
8.19293, 0.243607, 0
8.25954, 0.246995, 0
8.32615, 0.247338, 0
8.39276, 0.247921, 0
8.45937, 0.247404, 0
8.52598, 0.249703, 0
8.59258, 0.24909, 0
8.65919, 0.252338, 0
8.7258, 0.254687, 0
8.79241, 0.254915, 0
8.85902, 0.254853, 0
8.92563, 0.254213, 0
8.99224, 0.2574, 0
9.05885, 0.257971, 0
9.12546, 0.260718, 0
9.19207, 0.260872, 0
9.25868, 0.261516, 0
9.32529, 0.262616, 0
9.39189, 0.262878, 0
9.4585, 0.260316, 0
9.52511, 0.260826, 0
9.59172, 0.262496, 0
9.65833, 0.254587, 0
9.72494, 0.254946, 0
9.79155, 0.256524, 0
9.85816, 0.25615, 0
9.92477, 0.253356, 0
9.99138, 0.254441, 0
10.058, 0.255174, 0
10.1246, 0.253681, 0
10.1912, 0.255625, 0
10.2578, 0.255316, 0
10.3244, 0.256223, 0
10.391, 0.254622, 0
10.4576, 0.252747, 0
