The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0745756, 0
0.133218, 0.0786574, 0
0.199828, 0.0841474, 0
0.266437, 0.0912307, 0
0.333046, 0.0946643, 0
0.399655, 0.0955286, 0
0.466264, 0.0987268, 0
0.532873, 0.105374, 0
0.599483, 0.102955, 0
0.666092, 0.10598, 0
0.732701, 0.105648, 0
0.79931, 0.105181, 0
0.865919, 0.107986, 0
0.932529, 0.11174, 0
0.999138, 0.11098, 0
1.06575, 0.111466, 0
1.13236, 0.112843, 0
1.19897, 0.113862, 0
1.26557, 0.114587, 0
1.33218, 0.116752, 0
1.39879, 0.11784, 0
1.4654, 0.120856, 0
1.53201, 0.12108, 0
1.59862, 0.12451, 0
1.66523, 0.127099, 0
1.73184, 0.129911, 0
1.79845, 0.132369, 0
1.86506, 0.132168, 0
1.93167, 0.135532, 0
1.99828, 0.134977, 0
2.06488, 0.136042, 0
2.13149, 0.137546, 0
2.1981, 0.139657, 0
2.26471, 0.138538, 0
2.33132, 0.139144, 0
2.39793, 0.141115, 0
2.46454, 0.141358, 0
2.53115, 0.144086, 0
2.59776, 0.143823, 0
2.66437, 0.144171, 0
2.73098, 0.141671, 0
2.79759, 0.143117, 0
2.86419, 0.143927, 0
2.9308, 0.14485, 0
2.99741, 0.142191, 0
3.06402, 0.143924, 0
3.13063, 0.14223, 0
3.19724, 0.138735, 0
3.26385, 0.146215, 0
3.33046, 0.145687, 0
3.39707, 0.147944, 0
3.46368, 0.151069, 0
3.53029, 0.15387, 0
3.5969, 0.155154, 0
3.6635, 0.157137, 0
3.73011, 0.159055, 0
3.79672, 0.161686, 0
3.86333, 0.165123, 0
3.92994, 0.164934, 0
3.99655, 0.167477, 0
4.06316, 0.168187, 0
4.12977, 0.167041, 0
4.19638, 0.166852, 0
4.26299, 0.166381, 0
4.3296, 0.165864, 0
4.39621, 0.16402, 0
4.46282, 0.16466, 0
4.52942, 0.164707, 0
4.59603, 0.163843, 0
4.66264, 0.164552, 0
4.72925, 0.166721, 0
4.79586, 0.167091, 0
4.86247, 0.16588, 0
4.92908, 0.168526, 0
4.99569, 0.170313, 0
5.0623, 0.171235, 0
5.12891, 0.168943, 0
5.19552, 0.170737, 0
5.26213, 0.173503, 0
5.32873, 0.175756, 0
5.39534, 0.177716, 0
5.46195, 0.179668, 0
5.52856, 0.18613, 0
5.59517, 0.187739, 0
5.66178, 0.192438, 0
5.72839, 0.198329, 0
5.795, 0.199309, 0
5.86161, 0.205301, 0
5.92822, 0.212778, 0
5.99483, 0.213059, 0
6.06144, 0.218488, 0
6.12804, 0.219556, 0
6.19465, 0.221682, 0
6.26126, 0.220868, 0
6.32787, 0.216103, 0
6.39448, 0.218692, 0
6.46109, 0.225042, 0
6.5277, 0.222666, 0
6.59431, 0.221038, 0
6.66092, 0.220957, 0
6.72753, 0.215116, 0
6.79414, 0.214988, 0
6.86075, 0.213592, 0
6.92735, 0.212627, 0
6.99396, 0.212944, 0
7.06057, 0.211339, 0
7.12718, 0.213133, 0
7.19379, 0.215579, 0
7.2604, 0.217496, 0
7.32701, 0.22441, 0
7.39362, 0.225293, 0
7.46023, 0.229371, 0
7.52684, 0.231146, 0
7.59345, 0.231528, 0
7.66006, 0.236211, 0
7.72666, 0.242068, 0
7.79327, 0.242427, 0
7.85988, 0.242782, 0
7.92649, 0.244954, 0
7.9931, 0.245046, 0
8.05971, 0.248819, 0
8.12632, 0.24532, 0
8.19293, 0.246154, 0
8.25954, 0.250918, 0
8.32615, 0.249803, 0
8.39276, 0.249649, 0
8.45937, 0.249973, 0
8.52598, 0.252072, 0
8.59258, 0.252141, 0
8.65919, 0.254356, 0
8.7258, 0.257076, 0
8.79241, 0.257272, 0
8.85902, 0.258075, 0
8.92563, 0.258422, 0
8.99224, 0.258866, 0
