The video is over!
The video is over!
The video is over!
   Frame Number   Queue Density Dynamic Density
              1        0.008380        0.000000
              2        0.008755        0.000000
              3        0.009103        0.000000
              4        0.017777        0.000000
              5        0.018532        0.000000
              6        0.019389        0.000000
              7        0.027897        0.000000
              8        0.028556        0.000000
              9        0.029690        0.000000
             10        0.038371        0.000000
             11        0.038893        0.000000
             12        0.040292        0.000000
             13        0.049107        0.000000
             14        0.049907        0.000000
             15        0.051159        0.000000
             16        0.060073        0.000000
             17        0.061046        0.000000
             18        0.062718        0.000000
             19        0.071637        0.000000
             20        0.072805        0.000000
             21        0.074502        0.000000
             22        0.083925        0.000000
             23        0.085246        0.000000
             24        0.087128        0.000000
             25        0.096837        0.000000
             26        0.098240        0.000000
             27        0.100360        0.000000
             28        0.110110        0.000000
             29        0.111411        0.000000
             30        0.113898        0.000000
             31        0.115368        0.000000
             32        0.116353        0.000000
             33        0.118533        0.000000
             34        0.119722        0.000000
             35        0.120449        0.000000
             36        0.122290        0.000000
             37        0.123627        0.000000
             38        0.124492        0.000000
             39        0.126043        0.000000
             40        0.127039        0.000000
             41        0.128238        0.000000
             42        0.129401        0.000000
             43        0.130119        0.000000
             44        0.131427        0.000000
             45        0.132356        0.000000
             46        0.132932        0.000000
             47        0.134619        0.000000
             48        0.135168        0.000000
             49        0.135860        0.000000
             50        0.137673        0.000000
             51        0.138475        0.000000
             52        0.138790        0.000000
             53        0.140748        0.000000
             54        0.141642        0.000000
             55        0.141819        0.000000
             56        0.143861        0.000000
             57        0.144671        0.000000
             58        0.144846        0.000000
             59        0.147406        0.000000
             60        0.147415        0.000000
             61        0.147471        0.000000
             62        0.149823        0.000000
             63        0.150045        0.000000
             64        0.150003        0.000000
             65        0.152196        0.000000
             66        0.152253        0.000000
             67        0.152244        0.000000
             68        0.154463        0.000000
             69        0.154437        0.000000
             70        0.154948        0.000000
             71        0.156955        0.000000
             72        0.157420        0.000000
             73        0.158116        0.000000
             74        0.159512        0.000000
             75        0.160489        0.000000
             76        0.161293        0.000000
             77        0.162323        0.000000
             78        0.163713        0.000000
             79        0.164475        0.000000
             80        0.165170        0.000000
             81        0.166931        0.000000
             82        0.167948        0.000000
             83        0.168774        0.000000
             84        0.170764        0.000000
             85        0.171627        0.000000
             86        0.172997        0.000000
             87        0.175576        0.000000
             88        0.176318        0.000000
             89        0.177858        0.000000
             90        0.181156        0.000000
             91        0.182131        0.000000
             92        0.183529        0.000000
             93        0.186168        0.000000
             94        0.187597        0.000000
             95        0.189381        0.000000
             96        0.191912        0.000000
             97        0.193259        0.000000
             98        0.194861        0.000000
             99        0.197322        0.000000
            100        0.198152        0.000000
            101        0.199583        0.000000
            102        0.201467        0.000000
            103        0.202199        0.000000
            104        0.203784        0.000000
            105        0.205922        0.000000
            106        0.206554        0.000000
            107        0.208125        0.000000
            108        0.210444        0.000000
            109        0.211081        0.000000
            110        0.212951        0.000000
            111        0.214911        0.000000
            112        0.215244        0.000000
            113        0.217138        0.000000
            114        0.219049        0.000000
            115        0.219453        0.000000
            116        0.220829        0.000000
            117        0.222150        0.000000
            118        0.222658        0.000000
            119        0.223761        0.000000
            120        0.224475        0.000000
            121        0.225082        0.000000
            122        0.226636        0.000000
            123        0.227748        0.000000
            124        0.228074        0.000000
            125        0.229135        0.000000
            126        0.230788        0.000000
            127        0.231073        0.000000
            128        0.232675        0.000000
            129        0.234466        0.000000
            130        0.235003        0.000000
            131        0.236783        0.000000
            132        0.238823        0.000000
            133        0.239630        0.000000
            134        0.241537        0.000000
            135        0.243674        0.000000
            136        0.244324        0.000000
            137        0.246046        0.000000
            138        0.247739        0.000000
            139        0.248332        0.000000
            140        0.249719        0.000000
            141        0.250965        0.000000
            142        0.251878        0.000000
            143        0.251906        0.000000
            144        0.252603        0.000000
            145        0.253634        0.000000
