The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0752353, 0
0.133218, 0.0786844, 0
0.199828, 0.0836188, 0
0.266437, 0.0894213, 0
0.333046, 0.0922917, 0
0.399655, 0.0935108, 0
0.466264, 0.0994059, 0
0.532873, 0.103171, 0
0.599483, 0.101265, 0
0.666092, 0.104028, 0
0.732701, 0.103951, 0
0.79931, 0.105648, 0
0.865919, 0.106265, 0
0.932529, 0.107978, 0
0.999138, 0.110093, 0
1.06575, 0.110046, 0
1.13236, 0.110679, 0
1.19897, 0.111713, 0
1.26557, 0.114954, 0
1.33218, 0.117099, 0
1.39879, 0.117191, 0
1.4654, 0.117022, 0
1.53201, 0.120077, 0
1.59862, 0.123056, 0
1.66523, 0.125293, 0
1.73184, 0.126998, 0
1.79845, 0.128885, 0
1.86506, 0.129321, 0
1.93167, 0.132037, 0
1.99828, 0.132531, 0
2.06488, 0.133584, 0
2.13149, 0.134483, 0
2.1981, 0.137508, 0
2.26471, 0.137407, 0
2.33132, 0.13713, 0
2.39793, 0.138492, 0
2.46454, 0.139699, 0
2.53115, 0.140667, 0
2.59776, 0.140401, 0
2.66437, 0.141292, 0
2.73098, 0.141354, 0
2.79759, 0.141235, 0
2.86419, 0.140988, 0
2.9308, 0.142589, 0
2.99741, 0.13985, 0
3.06402, 0.142249, 0
3.13063, 0.141138, 0
3.19724, 0.138083, 0
3.26385, 0.142797, 0
3.33046, 0.143858, 0
3.39707, 0.145208, 0
3.46368, 0.14767, 0
3.53029, 0.150448, 0
3.5969, 0.152423, 0
3.6635, 0.155471, 0
3.73011, 0.157477, 0
3.79672, 0.158873, 0
3.86333, 0.162627, 0
3.92994, 0.165532, 0
3.99655, 0.165216, 0
4.06316, 0.167141, 0
4.12977, 0.165093, 0
4.19638, 0.163962, 0
4.26299, 0.163762, 0
4.3296, 0.162886, 0
4.39621, 0.162666, 0
4.46282, 0.163156, 0
4.52942, 0.16238, 0
4.59603, 0.162045, 0
4.66264, 0.163002, 0
4.72925, 0.161813, 0
4.79586, 0.165432, 0
4.86247, 0.164514, 0
4.92908, 0.169074, 0
4.99569, 0.168819, 0
5.0623, 0.168812, 0
5.12891, 0.167971, 0
5.19552, 0.170069, 0
5.26213, 0.172631, 0
5.32873, 0.175671, 0
5.39534, 0.176528, 0
5.46195, 0.179329, 0
5.52856, 0.183773, 0
5.59517, 0.185463, 0
5.66178, 0.191381, 0
5.72839, 0.195455, 0
5.795, 0.197492, 0
5.86161, 0.203248, 0
5.92822, 0.210177, 0
5.99483, 0.212616, 0
6.06144, 0.21858, 0
6.12804, 0.219144, 0
6.19465, 0.221536, 0
6.26126, 0.220177, 0
6.32787, 0.214375, 0
6.39448, 0.215502, 0
6.46109, 0.22103, 0
6.5277, 0.221285, 0
6.59431, 0.21789, 0
6.66092, 0.21914, 0
6.72753, 0.216532, 0
6.79414, 0.215637, 0
6.86075, 0.212975, 0
