The video is over!
Frame Number 	Queue Density
1		0.0744753
2		0.0779552
3		0.0819792
4		0.0882292
5		0.0910725
6		0.0922878
7		0.0973727
8		0.100841
9		0.0990625
10		0.100112
11		0.100791
12		0.102508
13		0.103036
14		0.10564
15		0.10684
16		0.107365
17		0.10782
18		0.109232
19		0.109834
20		0.112133
21		0.112203
22		0.113387
23		0.115594
24		0.118356
25		0.120394
26		0.123846
27		0.125899
28		0.127411
29		0.129699
30		0.129221
31		0.130853
32		0.133048
33		0.133557
34		0.134637
35		0.134823
36		0.13478
37		0.136042
38		0.13755
39		0.137508
40		0.138036
41		0.137307
42		0.137596
43		0.137608
44		0.138044
45		0.136941
46		0.138322
47		0.137396
48		0.135633
49		0.14027
50		0.140621
51		0.141794
52		0.14527
53		0.148233
54		0.150039
55		0.152936
56		0.155297
57		0.157195
58		0.160995
59		0.163191
60		0.163229
61		0.165081
62		0.162056
63		0.16277
64		0.160598
65		0.161161
66		0.16098
67		0.159973
68		0.160926
69		0.161366
70		0.162103
71		0.163275
72		0.163835
73		0.163897
74		0.167751
75		0.167894
76		0.167427
77		0.167863
78		0.169637
79		0.171597
80		0.174606
81		0.175247
82		0.177292
83		0.18341
84		0.184931
85		0.189676
86		0.194633
87		0.195795
88		0.201408
89		0.2089
90		0.210104
91		0.215937
92		0.216678
93		0.219163
94		0.217816
95		0.213881
96		0.215594
97		0.220417
98		0.218835
99		0.217812
100		0.217963
101		0.213245
102		0.213214
103		0.211736
104		0.210806
105		0.209869
106		0.208059
107		0.211115
108		0.21326
109		0.213241
110		0.220617
111		0.221084
112		0.224367
113		0.227593
114		0.228337
115		0.233056
116		0.237519
117		0.237932
118		0.238789
119		0.240455
120		0.240918
121		0.243862
122		0.240015
123		0.241451
124		0.245386
125		0.245139
126		0.24576
127		0.244772
128		0.246161
129		0.247353
130		0.249124
131		0.249819
132		0.250702
133		0.251809
134		0.251103
135		0.253322
136		0.254842
137		0.256736
138		0.2574
139		0.257816
140		0.258677
141		0.25914
142		0.25755
143		0.257396
144		0.259062
145		0.250806
146		0.252477
147		0.254298
148		0.25336
149		0.250625
150		0.25137
151		0.251782
152		0.25076
153		0.252346
154		0.252604
155		0.252373
156		0.250687
157		0.248403
158		0.245069
159		0.244969
160		0.243738
161		0.242427
162		0.242967
163		0.244892
164		0.242311
165		0.241991
166		0.240934
167		0.240914
168		0.240486
169		0.238364
170		0.241728
171		0.240617
172		0.237747
173		0.23691
174		0.236844
175		0.236813
176		0.235995
177		0.235374
178		0.234491
179		0.233414
180		0.232504
181		0.232473
182		0.231979
183		0.233279
184		0.232253
185		0.232616
186		0.231076
187		0.230941
188		0.230899
189		0.231744
190		0.232377
191		0.233256
192		0.231995
193		0.232365
194		0.232782
195		0.240031
196		0.241049
197		0.241142
198		0.242269
199		0.240756
200		0.241019
201		0.240787
202		0.23963
203		0.239171
204		0.240174
205		0.238395
206		0.239198
207		0.23875
208		0.237631
209		0.2375
210		0.237816
211		0.23809
212		0.238615
213		0.236763
214		0.237353
215		0.237635
216		0.238399
217		0.238272
218		0.238519
219		0.238395
220		0.229583
221		0.228981
222		0.229799
223		0.230652
224		0.230822
225		0.230976
226		0.23147
227		0.233704
228		0.231578
229		0.232022
230		0.233241
231		0.232751
232		0.233345
233		0.234479
234		0.233465
235		0.233588
236		0.234383
237		0.233013
238		0.232982
239		0.231265
240		0.230841
241		0.227739
242		0.229911
243		0.229823
244		0.232292
245		0.230247
246		0.230961
247		0.232454
248		0.230992
249		0.232577
250		0.232546
251		0.231373
252		0.231296
253		0.231034
254		0.229846
255		0.230706
256		0.229645
257		0.232346
258		0.230328
259		0.23022
260		0.229568
261		0.230015
262		0.229861
263		0.229321
264		0.228966
265		0.229367
266		0.229618
267		0.228819
268		0.228854
269		0.228411
270		0.225463
271		0.226574
272		0.226235
273		0.226647
274		0.227944
275		0.230525
276		0.230972
277		0.233773
278		0.237473
279		0.238507
280		0.241485
281		0.24397
282		0.244904
283		0.246763
284		0.249248
285		0.249344
286		0.25103
287		0.248071
