The video is over!
Frame Number 	Queue Density
1		0.0740123
2		0.0794522
3		0.08299
4		0.0887269
5		0.0923958
6		0.0925733
7		0.0989236
8		0.102446
9		0.100347
10		0.101057
11		0.101971
12		0.1038
13		0.104028
14		0.106215
15		0.108036
16		0.109533
17		0.108326
18		0.112855
19		0.114217
20		0.115779
21		0.116227
22		0.119915
23		0.119896
24		0.125779
25		0.127758
26		0.128684
27		0.131088
28		0.130748
29		0.13157
30		0.133329
31		0.135795
32		0.13338
33		0.135691
34		0.13353
35		0.135625
36		0.135502
37		0.138472
38		0.139973
39		0.140096
40		0.139884
41		0.138742
42		0.141416
43		0.140691
44		0.14037
45		0.142103
46		0.14282
47		0.143183
48		0.138584
49		0.145799
50		0.146389
51		0.147485
52		0.152751
53		0.154066
54		0.155509
55		0.154877
56		0.157859
57		0.16086
58		0.165204
59		0.165529
60		0.167245
61		0.167932
62		0.167315
63		0.167114
64		0.164537
65		0.164336
66		0.163781
67		0.164255
68		0.162427
69		0.163738
70		0.16409
71		0.165258
72		0.166833
73		0.166562
74		0.169815
75		0.170629
76		0.17061
77		0.170112
78		0.174464
79		0.17267
80		0.176717
81		0.175779
82		0.179028
83		0.185062
84		0.184745
85		0.192921
86		0.197056
87		0.197917
88		0.205309
89		0.212894
90		0.213727
91		0.220509
92		0.220914
93		0.223272
94		0.223997
95		0.215752
96		0.216902
97		0.221736
98		0.220706
99		0.222184
100		0.221516
101		0.218569
102		0.218893
103		0.216451
104		0.214074
105		0.214417
106		0.212612
107		0.213889
108		0.213511
109		0.215563
110		0.223218
111		0.224568
112		0.227897
113		0.229275
114		0.23091
115		0.237114
116		0.240837
117		0.240718
118		0.244178
119		0.244417
120		0.244988
121		0.24706
122		0.245104
123		0.246617
124		0.249579
125		0.251319
126		0.251381
127		0.247867
128		0.250941
129		0.251073
130		0.254309
131		0.25581
132		0.256408
133		0.257712
134		0.257369
135		0.259201
136		0.260837
137		0.262905
138		0.263241
139		0.262701
140		0.264576
141		0.266647
142		0.26446
143		0.265181
144		0.267099
145		0.256138
146		0.258225
147		0.259113
148		0.259402
149		0.256956
150		0.258017
151		0.257828
152		0.257195
153		0.259062
154		0.259498
155		0.259008
156		0.258237
157		0.254857
158		0.252072
159		0.250397
160		0.249371
161		0.248137
162		0.24909
163		0.250374
164		0.249645
165		0.24767
166		0.247731
167		0.245463
168		0.244641
169		0.243056
170		0.246578
171		0.246127
172		0.244275
173		0.241605
174		0.24164
175		0.242546
176		0.240687
177		0.241204
178		0.240563
179		0.240274
180		0.240837
181		0.23838
182		0.237693
183		0.237816
184		0.23473
185		0.236532
186		0.234687
187		0.233345
188		0.232535
189		0.235478
190		0.235401
191		0.236856
192		0.235247
193		0.236694
194		0.238125
195		0.245579
196		0.243129
197		0.244645
198		0.242311
199		0.241466
200		0.239969
201		0.241258
202		0.240235
203		0.240401
204		0.242492
205		0.241269
206		0.245571
207		0.245004
208		0.241501
209		0.241049
210		0.242948
211		0.243661
212		0.24218
213		0.240436
214		0.241007
215		0.240999
216		0.240791
217		0.240675
218		0.241798
219		0.242951
220		0.234421
221		0.233507
222		0.233808
223		0.234537
224		0.234618
225		0.234448
226		0.235436
227		0.238488
228		0.235837
229		0.235617
230		0.234865
231		0.235806
232		0.23701
233		0.237145
234		0.236914
235		0.237743
236		0.239657
237		0.238445
238		0.236671
239		0.236265
