The video is over!
Frame Number 	Queue Density
1		0.0784838
2		0.081605
3		0.0852623
4		0.0917593
5		0.0929938
6		0.0944136
7		0.10235
8		0.10517
9		0.10216
10		0.103345
11		0.105166
12		0.107145
13		0.108268
14		0.110073
15		0.111076
16		0.112103
17		0.113785
18		0.11336
19		0.11527
20		0.118789
21		0.119637
22		0.11988
23		0.12483
24		0.127793
25		0.129232
26		0.131547
27		0.134086
28		0.134637
29		0.134444
30		0.137446
31		0.136292
32		0.136528
33		0.14037
34		0.13809
35		0.141127
36		0.139132
37		0.140197
38		0.142242
39		0.140158
40		0.140262
41		0.14086
42		0.140262
43		0.141921
44		0.145181
45		0.14228
46		0.143889
47		0.1411
48		0.139722
49		0.145166
50		0.144707
51		0.145764
52		0.149286
53		0.153796
54		0.156362
55		0.158337
56		0.162257
57		0.163414
58		0.166952
59		0.169198
60		0.168241
61		0.170752
62		0.165806
63		0.1687
64		0.164826
65		0.168796
66		0.165907
67		0.164379
68		0.16735
69		0.167473
70		0.166115
71		0.169591
72		0.170355
73		0.169375
74		0.173368
75		0.173762
76		0.171971
77		0.171582
78		0.175112
79		0.173954
80		0.174637
81		0.177631
82		0.179333
83		0.187272
84		0.19081
85		0.19353
86		0.199633
87		0.200914
88		0.206794
89		0.214306
90		0.213708
91		0.21787
92		0.221674
93		0.222261
94		0.224468
95		0.218997
96		0.219695
97		0.223989
98		0.223171
99		0.222423
100		0.221169
101		0.219718
102		0.218048
103		0.21657
104		0.216084
105		0.215305
106		0.212392
107		0.214313
108		0.216115
109		0.22059
110		0.22387
111		0.223904
112		0.228333
113		0.232708
114		0.233349
115		0.236022
116		0.240162
117		0.243295
118		0.242477
119		0.24613
120		0.246647
121		0.251127
122		0.248337
123		0.249086
124		0.252604
125		0.252477
126		0.252049
127		0.250918
128		0.25206
129		0.253534
130		0.255613
131		0.257774
132		0.25912
133		0.258275
134		0.258295
135		0.260999
136		0.26147
137		0.262299
138		0.262508
139		0.265876
140		0.266836
141		0.266165
142		0.263873
143		0.263715
144		0.26669
145		0.256042
146		0.255687
147		0.260849
148		0.259826
149		0.25711
150		0.258989
151		0.259904
152		0.258387
153		0.259556
154		0.259475
155		0.25912
156		0.257608
157		0.25456
158		0.254429
159		0.249576
160		0.247319
161		0.246968
162		0.24941
163		0.249803
164		0.247847
165		0.247346
