Time of video, Queue Density, Dynamic Density
0.0666092, 0.0337963, 0
0.133218, 0.0567515, 0.0149691
0.199828, 0.0793789, 0.0255787
0.266437, 0.103356, 0.0374035
0.333046, 0.126601, 0.0535494
0.399655, 0.147145, 0.0666088
0.466264, 0.170621, 0.0844907
0.532873, 0.192766, 0.102643
0.599483, 0.217998, 0.118692
0.666092, 0.225019, 0.135176
0.732701, 0.231385, 0.144232
0.79931, 0.235417, 0.151167
0.865919, 0.236825, 0.155816
0.932529, 0.24159, 0.162973
0.999138, 0.245853, 0.16249
1.06575, 0.248167, 0.161738
1.13236, 0.253897, 0.163735
1.19897, 0.257205, 0.161584
1.26557, 0.259549, 0.158738
1.33218, 0.258083, 0.161333
1.39879, 0.261806, 0.159404
1.4654, 0.262616, 0.156858
1.53201, 0.265336, 0.155469
1.59862, 0.268654, 0.151206
1.66523, 0.271817, 0.148206
1.73184, 0.276495, 0.143654
1.79845, 0.277691, 0.140017
1.86506, 0.280122, 0.139053
1.93167, 0.286545, 0.135696
1.99828, 0.289516, 0.132494
2.06488, 0.29347, 0.131973
2.13149, 0.295033, 0.130421
2.1981, 0.299122, 0.132176
2.26471, 0.29972, 0.133912
2.33132, 0.303839, 0.136989
2.39793, 0.308584, 0.139265
2.46454, 0.311902, 0.139458
2.53115, 0.322859, 0.143663
2.59776, 0.33015, 0.146017
2.66437, 0.342207, 0.145428
2.73098, 0.354205, 0.146798
2.79759, 0.368962, 0.145544
2.86419, 0.385002, 0.145727
2.9308, 0.395882, 0.142679
2.99741, 0.404909, 0.142564
3.06402, 0.417641, 0.142737
3.13063, 0.424277, 0.140114
3.19724, 0.428463, 0.138995
3.26385, 0.437953, 0.138764
3.33046, 0.441001, 0.135523
3.39707, 0.451929, 0.136883
3.46368, 0.456944, 0.134799
3.53029, 0.46385, 0.135648
3.5969, 0.46956, 0.13505
3.6635, 0.477894, 0.133893
3.73011, 0.484896, 0.134018
3.79672, 0.493499, 0.132243
3.86333, 0.504687, 0.134365
3.92994, 0.514969, 0.135079
3.99655, 0.522762, 0.136275
4.06316, 0.527932, 0.137047
4.12977, 0.535571, 0.139169
4.19638, 0.542747, 0.138995
4.26299, 0.545756, 0.140567
4.3296, 0.550424, 0.139487
4.39621, 0.554244, 0.143711
4.46282, 0.554977, 0.13939
4.52942, 0.555285, 0.141319
4.59603, 0.553906, 0.137365
4.66264, 0.555363, 0.137664
4.72925, 0.556944, 0.136584
4.79586, 0.558989, 0.13614
4.86247, 0.55924, 0.133825
4.92908, 0.560417, 0.133922
4.99569, 0.561101, 0.127402
5.0623, 0.566213, 0.123659
5.12891, 0.570833, 0.119261
5.19552, 0.576572, 0.113426
5.26213, 0.582533, 0.106559
5.32873, 0.586285, 0.10245
5.39534, 0.589853, 0.0986883
5.46195, 0.596431, 0.0962867
5.52856, 0.603328, 0.0948592
5.59517, 0.613165, 0.0958623
5.66178, 0.620785, 0.0993731
5.72839, 0.627836, 0.102691
5.795, 0.634684, 0.110002
5.86161, 0.6432, 0.118779
5.92822, 0.649778, 0.126244
5.99483, 0.657118, 0.134404
