The video is over!
The video is over!
The video is over!
The video is over!
   Frame Number   Queue Density Dynamic Density
              1        0.008755        0.000000
              2        0.009103        0.000000
              3        0.009189        0.000000
              4        0.009777        0.000000
              5        0.019041        0.000000
              6        0.019015        0.000000
              7        0.019214        0.000000
              8        0.020078        0.000000
              9        0.029306        0.000000
             10        0.029559        0.000000
             11        0.030024        0.000000
             12        0.031022        0.000000
             13        0.040320        0.000000
             14        0.040635        0.000000
             15        0.040990        0.000000
             16        0.042370        0.000000
             17        0.051879        0.000000
             18        0.051990        0.000000
             19        0.052541        0.000000
             20        0.054362        0.000000
             21        0.064167        0.000000
             22        0.064223        0.000000
             23        0.065269        0.000000
             24        0.067274        0.000000
             25        0.077161        0.000000
             26        0.077246        0.000000
             27        0.078542        0.000000
             28        0.080445        0.000000
             29        0.090700        0.000000
             30        0.090883        0.000000
             31        0.092030        0.000000
             32        0.093975        0.000000
             33        0.104451        0.000000
             34        0.104549        0.000000
             35        0.106073        0.000000
             36        0.107999        0.000000
             37        0.118311        0.000000
             38        0.118394        0.000000
             39        0.119959        0.000000
             40        0.121873        0.000000
             41        0.123725        0.000000
             42        0.123316        0.000000
             43        0.124765        0.000000
             44        0.125918        0.000000
             45        0.127218        0.000000
             46        0.127526        0.000000
             47        0.128903        0.000000
             48        0.129900        0.000000
             49        0.131557        0.000000
             50        0.131864        0.000000
             51        0.133312        0.000000
             52        0.134264        0.000000
             53        0.136336        0.000000
             54        0.136522        0.000000
             55        0.138661        0.000000
             56        0.139177        0.000000
             57        0.141285        0.000000
             58        0.141674        0.000000
             59        0.143600        0.000000
             60        0.143448        0.000000
             61        0.145318        0.000000
             62        0.145809        0.000000
             63        0.146948        0.000000
             64        0.146574        0.000000
             65        0.148576        0.000000
             66        0.148843        0.000000
             67        0.149801        0.000000
             68        0.149849        0.000000
             69        0.151468        0.000000
             70        0.151571        0.000000
             71        0.153048        0.000000
             72        0.153304        0.000000
             73        0.154477        0.000000
             74        0.154590        0.000000
             75        0.155961        0.000000
             76        0.156420        0.000000
             77        0.158212        0.000000
             78        0.158417        0.000000
             79        0.159736        0.000000
             80        0.160855        0.000000
             81        0.162735        0.000000
             82        0.163548        0.000000
             83        0.165367        0.000000
             84        0.166653        0.000000
             85        0.169076        0.000000
             86        0.170290        0.000000
             87        0.172196        0.000000
             88        0.173948        0.000000
             89        0.176334        0.000000
             90        0.177483        0.000000
