The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0736265, 0
0.133218, 0.0775424, 0
0.199828, 0.0830633, 0
0.266437, 0.0927585, 0
0.333046, 0.0964583, 0
0.399655, 0.0978241, 0
0.466264, 0.103025, 0
0.532873, 0.104317, 0
0.599483, 0.105069, 0
0.666092, 0.106319, 0
0.732701, 0.106335, 0
0.79931, 0.108395, 0
0.865919, 0.108059, 0
0.932529, 0.111049, 0
0.999138, 0.11255, 0
1.06575, 0.111867, 0
1.13236, 0.113634, 0
1.19897, 0.116373, 0
1.26557, 0.112809, 0
1.33218, 0.118611, 0
1.39879, 0.115748, 0
1.4654, 0.118789, 0
1.53201, 0.123218, 0
1.59862, 0.123711, 0
1.66523, 0.123526, 0
1.73184, 0.130741, 0
1.79845, 0.130644, 0
1.86506, 0.130602, 0
1.93167, 0.133353, 0
1.99828, 0.134078, 0
2.06488, 0.13517, 0
2.13149, 0.136725, 0
2.1981, 0.139792, 0
2.26471, 0.139869, 0
2.33132, 0.140154, 0
2.39793, 0.138175, 0
2.46454, 0.141512, 0
2.53115, 0.144622, 0
2.59776, 0.14265, 0
2.66437, 0.142033, 0
2.73098, 0.142288, 0
2.79759, 0.143044, 0
2.86419, 0.143086, 0
2.9308, 0.142207, 0
2.99741, 0.14299, 0
3.06402, 0.144996, 0
3.13063, 0.140772, 0
3.19724, 0.14034, 0
3.26385, 0.144248, 0
3.33046, 0.144772, 0
3.39707, 0.147855, 0
3.46368, 0.15103, 0
3.53029, 0.152029, 0
3.5969, 0.153391, 0
3.6635, 0.158329, 0
3.73011, 0.160679, 0
3.79672, 0.160258, 0
3.86333, 0.164946, 0
3.92994, 0.166539, 0
3.99655, 0.163565, 0
4.06316, 0.169491, 0
4.12977, 0.16321, 0
4.19638, 0.165328, 0
4.26299, 0.163765, 0
4.3296, 0.164282, 0
4.39621, 0.165255, 0
4.46282, 0.164761, 0
4.52942, 0.164225, 0
4.59603, 0.164603, 0
4.66264, 0.164799, 0
4.72925, 0.16407, 0
4.79586, 0.16635, 0
4.86247, 0.164201, 0
4.92908, 0.169286, 0
4.99569, 0.169649, 0
5.0623, 0.171875, 0
5.12891, 0.168248, 0
5.19552, 0.170015, 0
5.26213, 0.169823, 0
5.32873, 0.17429, 0
5.39534, 0.17679, 0
5.46195, 0.179275, 0
5.52856, 0.183634, 0
5.59517, 0.185363, 0
5.66178, 0.189653, 0
5.72839, 0.194792, 0
5.795, 0.198202, 0
5.86161, 0.203958, 0
5.92822, 0.211134, 0
5.99483, 0.214398, 0
6.06144, 0.221671, 0
6.12804, 0.222708, 0
6.19465, 0.220856, 0
6.26126, 0.221613, 0
6.32787, 0.215656, 0
6.39448, 0.219525, 0
6.46109, 0.224039, 0
6.5277, 0.224093, 0
6.59431, 0.221968, 0
6.66092, 0.222083, 0
6.72753, 0.217928, 0
6.79414, 0.21784, 0
6.86075, 0.216238, 0
6.92735, 0.214336, 0
6.99396, 0.213364, 0
7.06057, 0.211952, 0
7.12718, 0.213075, 0
7.19379, 0.216979, 0
7.2604, 0.216632, 0
7.32701, 0.224776, 0
7.39362, 0.224433, 0
7.46023, 0.228808, 0
7.52684, 0.231215, 0
7.59345, 0.230903, 0
7.66006, 0.234599, 0
7.72666, 0.241786, 0
7.79327, 0.242843, 0
7.85988, 0.244637, 0
7.92649, 0.243638, 0
7.9931, 0.245621, 0
8.05971, 0.246698, 0
8.12632, 0.246173, 0
8.19293, 0.246929, 0
8.25954, 0.250154, 0
