The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
   Frame Number   Queue Density Dynamic Density
              1        0.010078        0.000000
              2        0.009912        0.000000
              3        0.010233        0.000000
              4        0.010301        0.000000
              5        0.010265        0.000000
              6        0.010336        0.000000
              7        0.010602        0.000000
              8        0.010736        0.000000
              9        0.020883        0.000000
             10        0.020779        0.000000
             11        0.021199        0.000000
             12        0.021440        0.000000
             13        0.021616        0.000000
             14        0.021691        0.000000
             15        0.022360        0.000000
             16        0.022520        0.000000
             17        0.032964        0.000000
             18        0.033012        0.000000
             19        0.033719        0.000000
             20        0.034144        0.000000
             21        0.034444        0.000000
             22        0.034715        0.000000
             23        0.035633        0.000000
             24        0.035691        0.000000
             25        0.046294        0.000000
             26        0.046441        0.000000
             27        0.047207        0.000000
             28        0.047673        0.000000
             29        0.048013        0.000000
             30        0.048380        0.000000
             31        0.049468        0.000000
             32        0.049508        0.000000
             33        0.060154        0.000000
             34        0.060329        0.000000
             35        0.061093        0.000000
             36        0.061546        0.000000
             37        0.061973        0.000000
             38        0.062196        0.000000
             39        0.063672        0.000000
             40        0.063330        0.000000
             41        0.073725        0.000000
             42        0.074451        0.000000
             43        0.075255        0.000000
             44        0.076037        0.000000
             45        0.076578        0.000000
             46        0.077120        0.000000
             47        0.078683        0.000000
             48        0.078639        0.000000
             49        0.089351        0.000000
             50        0.090255        0.000000
             51        0.091361        0.000000
             52        0.092298        0.000000
             53        0.093086        0.000000
             54        0.093628        0.000000
             55        0.094965        0.000000
             56        0.094901        0.000000
             57        0.105464        0.000000
             58        0.106414        0.000000
             59        0.107437        0.000000
             60        0.108336        0.000000
             61        0.109201        0.000000
             62        0.109757        0.000000
             63        0.111300        0.000000
             64        0.111182        0.000000
             65        0.122053        0.000000
             66        0.122988        0.000000
             67        0.124171        0.000000
             68        0.125321        0.000000
             69        0.126170        0.000000
             70        0.126649        0.000000
             71        0.128307        0.000000
             72        0.128348        0.000000
             73        0.139439        0.000000
             74        0.140453        0.000000
             75        0.141832        0.000000
             76        0.143688        0.000000
             77        0.144726        0.000000
             78        0.145805        0.000000
             79        0.147747        0.000000
             80        0.147994        0.000000
             81        0.149481        0.000000
             82        0.151463        0.000000
             83        0.152798        0.000000
             84        0.154964        0.000000
             85        0.156115        0.000000
             86        0.157544        0.000000
             87        0.159137        0.000000
             88        0.158637        0.000000
             89        0.160426        0.000000
             90        0.162619        0.000000
             91        0.164035        0.000000
             92        0.165862        0.000000
             93        0.166579        0.000000
             94        0.167629        0.000000
             95        0.168981        0.000000
             96        0.168259        0.000000
             97        0.169642        0.000000
             98        0.171627        0.000000
             99        0.172597        0.000000
            100        0.174505        0.000000
            101        0.175271        0.000000
            102        0.176296        0.000000
            103        0.177823        0.000000
            104        0.177287        0.000000
            105        0.179006        0.000000
            106        0.181182        0.000000
            107        0.181965        0.000000
            108        0.184493        0.000000
            109        0.185674        0.000000
            110        0.186667        0.000000
            111        0.188217        0.000000
            112        0.187645        0.000000
            113        0.189551        0.000000
            114        0.192012        0.000000
            115        0.192474        0.000000
            116        0.195120        0.000000
            117        0.196582        0.000000
            118        0.197712        0.000000
            119        0.198755        0.000000
            120        0.198628        0.000000
            121        0.201015        0.000000
            122        0.203025        0.000000
            123        0.203667        0.000000
            124        0.206163        0.000000
            125        0.207597        0.000000
            126        0.208400        0.000000
            127        0.209397        0.000000
            128        0.209187        0.000000
            129        0.211186        0.000000
            130        0.213419        0.000000
            131        0.213775        0.000000
            132        0.216101        0.000000
            133        0.217478        0.000000
            134        0.218308        0.000000
            135        0.219274        0.000000
            136        0.219134        0.000000
            137        0.221266        0.000000
            138        0.222547        0.000000
            139        0.223310        0.000000
            140        0.225856        0.000000
            141        0.226885        0.000000
            142        0.227617        0.000000
            143        0.228516        0.000000
            144        0.228401        0.000000
            145        0.230143        0.000000
            146        0.231654        0.000000
            147        0.232215        0.000000
            148        0.234532        0.000000
            149        0.235496        0.000000
            150        0.236006        0.000000
            151        0.236493        0.000000
            152        0.236113        0.000000
            153        0.237546        0.000000
            154        0.238632        0.000000
            155        0.239290        0.000000
            156        0.240809        0.000000
            157        0.241673        0.000000
            158        0.241488        0.000000
            159        0.241631        0.000000
            160        0.241032        0.000000
            161        0.241669        0.000000
            162        0.242003        0.000000
            163        0.242421        0.000000
            164        0.243660        0.000000
            165        0.244168        0.000000
            166        0.243514        0.000000
            167        0.243670        0.000000
            168        0.243504        0.000000
            169        0.243900        0.000000
            170        0.243867        0.000000
            171        0.243918        0.000000
            172        0.245434        0.000000
            173        0.246127        0.000000
            174        0.245938        0.000000
            175        0.245802        0.000000
            176        0.245959        0.000000
            177        0.246050        0.000000
            178        0.246273        0.000000
            179        0.246216        0.000000
            180        0.247435        0.000000
            181        0.248165        0.000000
            182        0.247824        0.000000
            183        0.247319        0.000000
            184        0.247385        0.000000
            185        0.246968        0.000000
            186        0.246853        0.000000
            187        0.247026        0.000000
            188        0.248304        0.000000
            189        0.248420        0.000000
            190        0.247965        0.000000
            191        0.247357        0.000000
            192        0.247362        0.000000
            193        0.246902        0.000000
            194        0.246241        0.000000
            195        0.246676        0.000000
            196        0.248043        0.000000
            197        0.247812        0.000000
            198        0.247324        0.000000
            199        0.246870        0.000000
            200        0.246541        0.000000
            201        0.245999        0.000000
            202        0.245019        0.000000
            203        0.245477        0.000000
            204        0.246441        0.000000
            205        0.246386        0.000000
            206        0.245693        0.000000
            207        0.245275        0.000000
            208        0.244742        0.000000
            209        0.244060        0.000000
            210        0.242886        0.000000
            211        0.243372        0.000000
            212        0.244418        0.000000
            213        0.242977        0.000000
            214        0.242228        0.000000
            215        0.242117        0.000000
            216        0.241799        0.000000
            217        0.241035        0.000000
            218        0.240951        0.000000
            219        0.241162        0.000000
            220        0.242252        0.000000
            221        0.240742        0.000000
            222        0.240188        0.000000
            223        0.240046        0.000000
            224        0.239538        0.000000
            225        0.238914        0.000000
            226        0.238733        0.000000
            227        0.239125        0.000000
            228        0.240225        0.000000
            229        0.238878        0.000000
            230        0.238585        0.000000
            231        0.238645        0.000000
            232        0.238112        0.000000
            233        0.237387        0.000000
            234        0.237529        0.000000
            235        0.237733        0.000000
            236        0.238977        0.000000
            237        0.237480        0.000000
            238        0.237239        0.000000
            239        0.237557        0.000000
            240        0.237069        0.000000
            241        0.236557        0.000000
            242        0.236802        0.000000
            243        0.236932        0.000000
            244        0.238017        0.000000
            245        0.236665        0.000000
            246        0.236349        0.000000
            247        0.236869        0.000000
            248        0.236681        0.000000
            249        0.235795        0.000000
            250        0.236583        0.000000
            251        0.236671        0.000000
            252        0.237386        0.000000
            253        0.236185        0.000000
            254        0.235807        0.000000
            255        0.236406        0.000000
            256        0.236099        0.000000
            257        0.235582        0.000000
            258        0.236215        0.000000
            259        0.236617        0.000000
            260        0.237298        0.000000
            261        0.235670        0.000000
            262        0.235519        0.000000
            263        0.235488        0.000000
            264        0.235426        0.000000
            265        0.234915        0.000000
            266        0.235625        0.000000
            267        0.236060        0.000000
            268        0.236245        0.000000
            269        0.234903        0.000000
            270        0.235110        0.000000
            271        0.235110        0.000000
            272        0.235372        0.000000
            273        0.234994        0.000000
            274        0.236219        0.000000
            275        0.236830        0.000000
            276        0.236830        0.000000
            277        0.235881        0.000000
            278        0.236205        0.000000
            279        0.236299        0.000000
            280        0.236600        0.000000
            281        0.235931        0.000000
            282        0.237350        0.000000
            283        0.237364        0.000000
            284        0.237681        0.000000
            285        0.236503        0.000000
            286        0.236873        0.000000
            287        0.236664        0.000000
            288        0.236509        0.000000
            289        0.235914        0.000000
            290        0.237043        0.000000
            291        0.237134        0.000000
            292        0.237366        0.000000
            293        0.237373        0.000000
            294        0.237465        0.000000
            295        0.237093        0.000000
            296        0.236847        0.000000
            297        0.236020        0.000000
            298        0.237025        0.000000
            299        0.237162        0.000000
            300        0.237145        0.000000
            301        0.237503        0.000000
            302        0.237407        0.000000
            303        0.236784        0.000000
            304        0.236739        0.000000
            305        0.236153        0.000000
            306        0.236940        0.000000
            307        0.237014        0.000000
            308        0.237034        0.000000
            309        0.237068        0.000000
            310        0.237031        0.000000
            311        0.236360        0.000000
            312        0.236299        0.000000
            313        0.236276        0.000000
            314        0.237174        0.000000
            315        0.237144        0.000000
            316        0.237227        0.000000
            317        0.237073        0.000000
            318        0.237292        0.000000
            319        0.236296        0.000000
            320        0.236271        0.000000
            321        0.236366        0.000000
            322        0.236968        0.000000
            323        0.237176        0.000000
            324        0.237205        0.000000
            325        0.237248        0.000000
            326        0.237395        0.000000
            327        0.236515        0.000000
            328        0.236344        0.000000
            329        0.236517        0.000000
            330        0.236849        0.000000
            331        0.237094        0.000000
            332        0.237614        0.000000
            333        0.237708        0.000000
            334        0.237844        0.000000
            335        0.237248        0.000000
            336        0.237017        0.000000
            337        0.237603        0.000000
            338        0.237116        0.000000
            339        0.237549        0.000000
            340        0.238594        0.000000
            341        0.238873        0.000000
            342        0.238753        0.000000
            343        0.238395        0.000000
            344        0.238202        0.000000
            345        0.238696        0.000000
            346        0.238176        0.000000
            347        0.238512        0.000000
            348        0.239252        0.000000
            349        0.239415        0.000000
            350        0.239241        0.000000
            351        0.238750        0.000000
            352        0.238139        0.000000
            353        0.238552        0.000000
            354        0.237784        0.000000
            355        0.237997        0.000000
            356        0.238841        0.000000
            357        0.238543        0.000000
            358        0.238370        0.000000
            359        0.237645        0.000000
            360        0.237310        0.000000
            361        0.237799        0.000000
            362        0.237085        0.000000
            363        0.237330        0.000000
            364        0.238252        0.000000
            365        0.237818        0.000000
            366        0.238117        0.000000
            367        0.237656        0.000000
            368        0.237747        0.000000
            369        0.238321        0.000000
            370        0.237623        0.000000
            371        0.237858        0.000000
            372        0.238769        0.000000
            373        0.238417        0.000000
            374        0.238944        0.000000
            375        0.238952        0.000000
            376        0.238895        0.000000
            377        0.239938        0.000000
            378        0.239201        0.000000
            379        0.239560        0.000000
            380        0.240782        0.000000
            381        0.240599        0.000000
            382        0.241361        0.000000
            383        0.241477        0.000000
            384        0.241198        0.000000
            385        0.242188        0.000000
            386        0.241435        0.000000
            387        0.242123        0.000000
            388        0.242779        0.000000
            389        0.242611        0.000000
            390        0.243829        0.000000
            391        0.244114        0.000000
            392        0.243951        0.000000
            393        0.244602        0.000000
            394        0.243667        0.000000
            395        0.244574        0.000000
            396        0.245262        0.000000
            397        0.245966        0.000000
            398        0.247230        0.000000
            399        0.248185        0.000000
            400        0.248440        0.000000
            401        0.249370        0.000000
            402        0.249293        0.000000
            403        0.250691        0.000000
            404        0.251963        0.000000
            405        0.253235        0.000000
            406        0.255202        0.000000
            407        0.256412        0.000000
            408        0.256824        0.000000
            409        0.258724        0.000000
            410        0.258733        0.000000
            411        0.260685        0.000000
            412        0.262270        0.000000
            413        0.263329        0.000000
            414        0.266247        0.000000
            415        0.267628        0.000000
            416        0.268285        0.000000
            417        0.270664        0.000000
            418        0.272151        0.000000
            419        0.273963        0.000000
            420        0.275664        0.000000
            421        0.277188        0.000000
            422        0.280528        0.000000
            423        0.282469        0.000000
            424        0.283529        0.000000
            425        0.286352        0.000000
            426        0.288394        0.000000
            427        0.290529        0.000000
            428        0.292566        0.000000
            429        0.293969        0.000000
            430        0.297688        0.000000
            431        0.299809        0.000000
            432        0.301485        0.000000
            433        0.304014        0.000000
            434        0.305960        0.000000
            435        0.308457        0.000000
            436        0.310662        0.000000
            437        0.312119        0.000000
            438        0.315069        0.000000
            439        0.317344        0.000000
            440        0.319310        0.000000
            441        0.321892        0.000000
            442        0.324313        0.000000
            443        0.327258        0.000000
            444        0.329401        0.000000
            445        0.331252        0.000000
            446        0.333955        0.000000
            447        0.336673        0.000000
            448        0.338815        0.000000
            449        0.341528        0.000000
            450        0.344219        0.000000
            451        0.347367        0.000000
            452        0.349607        0.000000
            453        0.351426        0.000000
            454        0.354187        0.000000
            455        0.356718        0.000000
            456        0.358716        0.000000
            457        0.361384        0.000000
            458        0.364026        0.000000
            459        0.366818        0.000000
            460        0.369009        0.000000
            461        0.370267        0.000000
            462        0.373503        0.000000
            463        0.376804        0.000000
