The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0740432, 0
0.133218, 0.0798341, 0
0.199828, 0.0833218, 0
0.266437, 0.0912732, 0
0.333046, 0.0947068, 0
0.399655, 0.0934877, 0
0.466264, 0.0994097, 0
0.532873, 0.10071, 0
0.599483, 0.102843, 0
0.666092, 0.106049, 0
0.732701, 0.102712, 0
0.79931, 0.102616, 0
0.865919, 0.107307, 0
0.932529, 0.109977, 0
0.999138, 0.109236, 0
1.06575, 0.109761, 0
1.13236, 0.111894, 0
1.19897, 0.113152, 0
1.26557, 0.114946, 0
1.33218, 0.115347, 0
1.39879, 0.115027, 0
1.4654, 0.118819, 0
1.53201, 0.123233, 0
1.59862, 0.124171, 0
1.66523, 0.127739, 0
1.73184, 0.130544, 0
1.79845, 0.130347, 0
1.86506, 0.129105, 0
1.93167, 0.131481, 0
1.99828, 0.136065, 0
2.06488, 0.13713, 0
2.13149, 0.134931, 0
2.1981, 0.138133, 0
2.26471, 0.140486, 0
2.33132, 0.141103, 0
2.39793, 0.139147, 0
2.46454, 0.142461, 0
2.53115, 0.142076, 0
2.59776, 0.143962, 0
2.66437, 0.144259, 0
2.73098, 0.143723, 0
2.79759, 0.142153, 0
2.86419, 0.144113, 0
2.9308, 0.144973, 0
2.99741, 0.143295, 0
3.06402, 0.145077, 0
3.13063, 0.140914, 0
3.19724, 0.136674, 0
3.26385, 0.144174, 0
3.33046, 0.146721, 0
3.39707, 0.144028, 0
3.46368, 0.145675, 0
3.53029, 0.150448, 0
3.5969, 0.153133, 0
3.6635, 0.15615, 0
3.73011, 0.161007, 0
3.79672, 0.162431, 0
3.86333, 0.164144, 0
3.92994, 0.165282, 0
3.99655, 0.166127, 0
4.06316, 0.16831, 0
4.12977, 0.166134, 0
4.19638, 0.165934, 0
4.26299, 0.164437, 0
4.3296, 0.1649, 0
4.39621, 0.16615, 0
4.46282, 0.163696, 0
4.52942, 0.16441, 0
4.59603, 0.164606, 0
4.66264, 0.166659, 0
4.72925, 0.16777, 0
4.79586, 0.169205, 0
4.86247, 0.167693, 0
4.92908, 0.172739, 0
4.99569, 0.168989, 0
5.0623, 0.170899, 0
5.12891, 0.172072, 0
5.19552, 0.170745, 0
5.26213, 0.172523, 0
5.32873, 0.176798, 0
5.39534, 0.177828, 0
5.46195, 0.177708, 0
5.52856, 0.186254, 0
5.59517, 0.187909, 0
5.66178, 0.194695, 0
5.72839, 0.199479, 0
5.795, 0.198129, 0
5.86161, 0.206501, 0
5.92822, 0.213927, 0
5.99483, 0.213823, 0
6.06144, 0.218646, 0
6.12804, 0.220525, 0
6.19465, 0.218484, 0
6.26126, 0.219749, 0
6.32787, 0.215579, 0
6.39448, 0.220448, 0
6.46109, 0.223931, 0
6.5277, 0.223862, 0
6.59431, 0.222184, 0
6.66092, 0.223164, 0
6.72753, 0.219406, 0
6.79414, 0.217072, 0
6.86075, 0.212554, 0
6.92735, 0.209664, 0
6.99396, 0.213067, 0
7.06057, 0.213546, 0
7.12718, 0.216258, 0
7.19379, 0.217785, 0
7.2604, 0.219811, 0
7.32701, 0.225683, 0
7.39362, 0.226489, 0
7.46023, 0.22951, 0
7.52684, 0.23032, 0
7.59345, 0.233256, 0
7.66006, 0.235471, 0
7.72666, 0.242284, 0
7.79327, 0.240559, 0
7.85988, 0.242674, 0
7.92649, 0.246308, 0
7.9931, 0.244603, 0
8.05971, 0.249769, 0
8.12632, 0.246578, 0
8.19293, 0.247411, 0
8.25954, 0.24985, 0
8.32615, 0.251076, 0
8.39276, 0.251871, 0
8.45937, 0.250853, 0
8.52598, 0.25336, 0
8.59258, 0.25439, 0
8.65919, 0.254522, 0
8.7258, 0.256281, 0
8.79241, 0.25289, 0
8.85902, 0.25461, 0
8.92563, 0.257041, 0
8.99224, 0.261231, 0
9.05885, 0.261825, 0
9.12546, 0.264506, 0
9.19207, 0.264618, 0
9.25868, 0.258638, 0
9.32529, 0.260544, 0
9.39189, 0.262928, 0
9.4585, 0.264051, 0
9.52511, 0.262955, 0
9.59172, 0.266474, 0
9.65833, 0.253981, 0
9.72494, 0.256169, 0
9.79155, 0.25816, 0
9.85816, 0.256779, 0
9.92477, 0.255787, 0
9.99138, 0.25625, 0
10.058, 0.255926, 0
10.1246, 0.25385, 0
10.1912, 0.255995, 0
10.2578, 0.256628, 0
10.3244, 0.25885, 0
10.391, 0.258202, 0
10.4576, 0.255131, 0
10.5243, 0.252269, 0
10.5909, 0.250274, 0
10.6575, 0.248202, 0
10.7241, 0.247909, 0
10.7907, 0.248611, 0
10.8573, 0.250567, 0
10.9239, 0.247627, 0
10.9905, 0.246593, 0
11.0571, 0.245918, 0
11.1237, 0.245764, 0
11.1903, 0.244776, 0
11.257, 0.241088, 0
11.3236, 0.24603, 0
11.3902, 0.246582, 0
11.4568, 0.24385, 0
11.5234, 0.241748, 0
11.59, 0.238954, 0
11.6566, 0.239487, 0
11.7232, 0.240062, 0
11.7898, 0.238156, 0
11.8564, 0.239529, 0
