The video is over!
Frame Number 	Queue Density
1		0.0761806
2		0.0796991
3		0.0843596
4		0.0891204
5		0.0943981
6		0.0950309
7		0.100355
8		0.103966
9		0.102415
10		0.102855
11		0.103356
12		0.105918
13		0.106304
14		0.109437
15		0.109869
16		0.111335
17		0.112153
18		0.113549
19		0.114637
20		0.116528
21		0.1176
22		0.119398
23		0.12196
24		0.124599
25		0.126165
26		0.128673
27		0.130694
28		0.131806
29		0.134306
30		0.135231
31		0.136181
32		0.136505
33		0.137554
34		0.138565
35		0.138762
36		0.138584
37		0.139803
38		0.141447
39		0.141269
40		0.141169
41		0.140907
42		0.141238
43		0.141416
44		0.142265
45		0.140266
46		0.14201
47		0.140745
48		0.138407
49		0.144525
50		0.145212
51		0.145741
52		0.149074
53		0.151659
54		0.15331
55		0.156721
56		0.159352
57		0.160185
58		0.164062
59		0.165783
60		0.166539
61		0.167967
62		0.166015
63		0.165745
64		0.164109
65		0.163738
66		0.163623
67		0.163152
68		0.163538
69		0.163468
70		0.164464
71		0.16488
72		0.166107
73		0.166096
74		0.169306
75		0.170278
76		0.169985
77		0.169383
78		0.171898
79		0.174082
80		0.175579
81		0.176829
82		0.17836
83		0.184487
84		0.186582
85		0.191898
86		0.197106
87		0.197816
88		0.203765
89		0.211196
90		0.212855
91		0.218897
92		0.219352
93		0.219861
94		0.221007
95		0.218275
96		0.218592
97		0.22412
98		0.222797
99		0.220691
100		0.219907
101		0.216902
102		0.216748
103		0.215397
104		0.215073
105		0.213337
106		0.211802
107		0.214803
108		0.216759
109		0.217045
110		0.223781
111		0.225008
112		0.229225
113		0.231273
114		0.232296
115		0.236381
116		0.240911
117		0.240451
118		0.242137
119		0.243769
120		0.24566
121		0.248603
122		0.245285
123		0.245814
124		0.249996
125		0.250166
126		0.25093
127		0.249865
128		0.251763
129		0.252377
130		0.254842
131		0.256566
132		0.257967
133		0.257049
134		0.257809
135		0.259344
136		0.260941
137		0.263503
138		0.263549
139		0.263573
140		0.264823
141		0.265185
142		0.262789
143		0.263476
144		0.264965
145		0.256138
146		0.257284
147		0.258819
148		0.257809
149		0.255231
150		0.256651
151		0.256883
152		0.256381
153		0.258164
154		0.257774
155		0.257473
156		0.256817
157		0.254267
158		0.251142
159		0.249333
160		0.248846
161		0.247184
162		0.247025
163		0.248823
164		0.248434
165		0.248175
166		0.246524
167		0.246767
168		0.24537
169		0.24375
170		0.246728
171		0.244931
172		0.242068
173		0.242083
174		0.241204
175		0.240718
176		0.240436
177		0.239973
178		0.240077
179		0.238873
180		0.238993
181		0.239464
182		0.23826
183		0.240008
184		0.237191
185		0.236941
186		0.236744
187		0.236524
188		0.236663
189		0.236647
190		0.236644
191		0.236296
192		0.235741
193		0.235417
194		0.236227
195		0.244302
196		0.244583
197		0.244981
198		0.245147
199		0.24439
200		0.244035
201		0.24419
202		0.243819
203		0.243202
204		0.243503
205		0.242577
206		0.242492
207		0.242215
208		0.242118
209		0.242041
210		0.242238
211		0.241381
212		0.242365
213		0.23978
214		0.240652
215		0.241061
216		0.241686
217		0.241748
218		0.242523
219		0.242114
220		0.232581
221		0.232365
222		0.232458
223		0.233098
224		0.234348
225		0.234186
226		0.234456
227		0.236887
228		0.236177
229		0.23537
230		0.236015
231		0.235968
232		0.236493
233		0.238152
