Frame Number, Queue Density, Dynamic Density
222, 0.158419, 0.158419
223, 0.135391, 0.135391
224, 0.111551, 0.111551
225, 0.0885563, 0.0885563
226, 0.0687905, 0.0687905
227, 0.0537986, 0.0537986
228, 0.0448881, 0.0448881
229, 0.0440887, 0.0440887
230, 0.0497917, 0.0497917
231, 0.0594506, 0.0594506
232, 0.0686204, 0.0686204
233, 0.0752685, 0.0752685
234, 0.0784738, 0.0784738
235, 0.0806258, 0.0806258
236, 0.0804977, 0.0804977
237, 0.0758094, 0.0758094
238, 0.0691057, 0.0691057
239, 0.0640972, 0.0640972
240, 0.0556937, 0.0556937
241, 0.0477276, 0.0477276
242, 0.041652, 0.041652
243, 0.0352631, 0.0352631
244, 0.0354853, 0.0354853
245, 0.0375756, 0.0375756
246, 0.0429838, 0.0429838
247, 0.0472828, 0.0472828
248, 0.0491971, 0.0491971
249, 0.0467149, 0.0467149
250, 0.0471848, 0.0471848
251, 0.0482195, 0.0482195
252, 0.0517242, 0.0517242
253, 0.0574526, 0.0574526
254, 0.0602666, 0.0602666
255, 0.0620505, 0.0620505
256, 0.0618546, 0.0618546
257, 0.0581192, 0.0581192
258, 0.0558237, 0.0558237
259, 0.0543492, 0.0543492
260, 0.0520374, 0.0520374
261, 0.0476701, 0.0476701
262, 0.0415621, 0.0415621
263, 0.0392242, 0.0392242
264, 0.0391362, 0.0391362
265, 0.0439973, 0.0439973
266, 0.0526107, 0.0526107
267, 0.0677801, 0.0677801
268, 0.0839008, 0.0839008
269, 0.0942465, 0.0913742
270, 0.0996879, 0.0903592
271, 0.104348, 0.0919275
272, 0.108319, 0.0962222
273, 0.110973, 0.102074
274, 0.113095, 0.11217
275, 0.111535, 0.111535
276, 0.108014, 0.108014
277, 0.103824, 0.103824
278, 0.100971, 0.100971
279, 0.103671, 0.103671
280, 0.111652, 0.111652
281, 0.120867, 0.120867
282, 0.130677, 0.130677
283, 0.138359, 0.138359
284, 0.142735, 0.142735
285, 0.146692, 0.146692
286, 0.149584, 0.149584
287, 0.151768, 0.151768
288, 0.153005, 0.153005
289, 0.155186, 0.148658
290, 0.15784, 0.139858
291, 0.159706, 0.129142
292, 0.16065, 0.115633
293, 0.162024, 0.101716
294, 0.164821, 0.0896265
295, 0.171287, 0.083625
296, 0.181889, 0.0828704
297, 0.196861, 0.0887431
298, 0.21419, 0.100238
299, 0.233387, 0.118547
300, 0.255849, 0.141363
301, 0.281606, 0.167562
302, 0.313032, 0.198954
303, 0.346187, 0.234394
304, 0.378742, 0.26999
305, 0.407522, 0.297547
306, 0.432914, 0.319586
307, 0.4564, 0.337278
308, 0.4761, 0.351938
309, 0.497853, 0.361377
310, 0.515618, 0.366299
311, 0.531303, 0.364939
312, 0.538715, 0.357525
313, 0.545216, 0.340754
314, 0.551588, 0.322561
315, 0.558755, 0.306704
316, 0.566071, 0.29166
317, 0.568783, 0.2756
318, 0.573525, 0.257203
319, 0.577632, 0.240137
320, 0.582649, 0.220678
321, 0.58735, 0.203197
322, 0.592902, 0.184362
323, 0.59911, 0.170196
324, 0.603717, 0.157417
325, 0.606883, 0.145837
326, 0.60808, 0.135029
327, 0.611721, 0.125489
328, 0.615346, 0.115535
329, 0.616615, 0.103564
330, 0.616941, 0.0917269
331, 0.617304, 0.0812778
332, 0.615302, 0.07474
333, 0.611981, 0.0680787
334, 0.611482, 0.061267
335, 0.611697, 0.0543503
336, 0.61399, 0.0475556
337, 0.617019, 0.0410679
338, 0.619096, 0.0357068
339, 0.616096, 0.0324012
340, 0.613658, 0.0322346
341, 0.611131, 0.0327701
342, 0.61332, 0.0338426
343, 0.615735, 0.0348858
344, 0.616748, 0.0357423
345, 0.616818, 0.0361528
346, 0.616387, 0.0353549
347, 0.613159, 0.0343858
348, 0.610364, 0.0335633
349, 0.61163, 0.0336096
350, 0.613508, 0.0329892
351, 0.614477, 0.0316821
352, 0.612296, 0.0295903
353, 0.61151, 0.0276867
354, 0.61165, 0.0252253
355, 0.613207, 0.0232986
356, 0.614611, 0.0219128
357, 0.616732, 0.0214352
358, 0.619324, 0.0217647
359, 0.621374, 0.0212886
360, 0.621262, 0.019956
361, 0.621682, 0.0185008
362, 0.622691, 0.0186165
363, 0.623237, 0.0194051
364, 0.625938, 0.0204421
365, 0.627429, 0.0210347
366, 0.628309, 0.0215116
367, 0.628216, 0.0229082
368, 0.626788, 0.0242539
369, 0.626415, 0.0248958
370, 0.626713, 0.0293835
371, 0.627547, 0.0352562
372, 0.629817, 0.0398183
373, 0.630947, 0.0441393
374, 0.62953, 0.0483495
375, 0.626817, 0.0532886
376, 0.624318, 0.0591605
377, 0.618751, 0.0645779
378, 0.614988, 0.0705455
379, 0.611155, 0.0762801
380, 0.608046, 0.0803974
381, 0.605333, 0.0839313
382, 0.605113, 0.0874309
383, 0.605821, 0.0889109
384, 0.608222, 0.0888997
385, 0.612513, 0.0899583
386, 0.617129, 0.0907762
387, 0.622709, 0.0910525
388, 0.62819, 0.0898349
389, 0.633422, 0.0878974
390, 0.638877, 0.0836836
391, 0.643944, 0.077402
392, 0.646384, 0.0702238
393, 0.648297, 0.0649182
394, 0.648682, 0.0609144
395, 0.645307, 0.0563549
396, 0.642887, 0.0506744
397, 0.646378, 0.0442068
398, 0.649899, 0.0400833
399, 0.652316, 0.036088
400, 0.650201, 0.0327793
401, 0.647613, 0.0309136
402, 0.646253, 0.0308264
403, 0.644428, 0.0306335
404, 0.645921, 0.0298472
405, 0.647598, 0.0276204
406, 0.648227, 0.0259151
407, 0.649037, 0.0267323
408, 0.650291, 0.0263264
409, 0.6534, 0.0265887
410, 0.658611, 0.0280309
